,Phrase,Counts,Freq,N,tf_idf
471,"('gut', 'losung')",155,9,15,118.13170806726899
243,"('gebund', 'ausgab')",231,9,15,118.00071908994386
245,"('volk', 'stand')",231,11,15,118.00071908994386
166,"('bundesrat', 'meinung')",291,8,15,117.99034645947583
168,"('buchstab', 'b')",291,10,15,117.99034645947583
169,"('bildung', 'forschung')",291,10,15,117.99034645947583
348,"('mind', 'aeschi')",186,7,15,116.92121065256158
480,"('war', 'ja')",153,8,15,116.6074279631752
250,"('end', 'jahr')",228,11,15,116.46824221864588
651,"('enthalt', 'zugestimmt')",127,9,15,116.3689229480177
351,"('international', 'vergleich')",185,8,15,116.2926019931392
251,"('dank', 'frag')",227,9,15,115.95741659487989
107,"('beschluss', 'standerat')",372,12,15,115.37763332902827
256,"('offent', 'interess')",224,10,15,114.42493972358193
360,"('jahr', 'alt')",182,10,15,114.40677601487208
361,"('gemass', 'antrag')",182,9,15,114.40677601487208
180,"('jahr', 'jahr')",282,9,15,114.34116048650236
62,"('stell', 'fest')",511,13,15,114.02635472156119
182,"('bilateral', 'vertrag')",281,11,15,113.93569537839419
260,"('natur', 'person')",223,9,15,113.91411409981593
183,"('rechnung', 'trag')",280,10,15,113.53023027028603
111,"('d', 'h')",364,12,15,112.89639390259757
506,"('anerkannt', 'fluchtling')",148,8,15,112.79672770294071
188,"('lang', 'spiess')",277,8,15,112.31383494596153
192,"('kenntnis', 'nehm')",275,9,15,111.50290472974521
378,"('enthalt', 'angenomm')",177,8,15,111.26373271776022
4117,"('gibt', 'sich')",41,7,15,111.03005824519062
723,"('muss', 'schon')",121,7,15,110.87117855677276
194,"('grund', 'dafur')",273,8,15,110.69197451352888
381,"('gross', 'herausforder')",176,8,15,110.63512405833784
525,"('kommission', 'wirtschaft')",145,8,15,110.51030754680002
277,"('beim', 'eintret')",216,9,15,110.33833473345399
195,"('bundesrat', 'standerat')",272,10,15,110.28650940542072
196,"('bitt', 'minderheitsantrag')",271,10,15,109.88104429731254
115,"('zweit', 'saul')",353,8,15,109.48468969125533
116,"('erneuerbar', 'energi')",352,8,15,109.17453476295148
390,"('heut', 'mehr')",173,9,15,108.74929808007072
391,"('nam', 'cvpfraktion')",173,6,15,108.74929808007072
394,"('schon', 'seit')",173,9,15,108.74929808007072
4260,"('international', 'umfeld')",40,8,15,108.3220080440884
4262,"('dafur', 'muss')",40,6,15,108.3220080440884
66,"('annahm', 'motion')",485,11,15,108.22462238739173
545,"('schweiz', 'recht')",142,11,15,108.22388739065933
400,"('komm', 'schluss')",172,7,15,108.12068942064835
201,"('mehr', 'geld')",266,10,15,107.85371875677173
120,"('ja', 'schon')",347,10,15,107.62376012143228
288,"('mensch', 'land')",210,10,15,107.27338099085806
122,"('geht', 'ja')",345,10,15,107.00345026482461
402,"('wichtig', 'frag')",170,11,15,106.8634721018036
405,"('kommission', 'vorlag')",170,9,15,106.8634721018036
289,"('erst', 'schritt')",209,9,15,106.76255536709206
290,"('hauslich', 'gewalt')",209,9,15,106.76255536709206
291,"('grund', 'warum')",209,10,15,106.76255536709206
292,"('schweiz', 'bevolker')",209,11,15,106.76255536709206
293,"('vorlauf', 'aufnahm')",209,7,15,106.76255536709206
770,"('neu', 'fuhrungsmodell')",116,6,15,106.289724897402
294,"('unabhang', 'davon')",208,10,15,106.25172974332607
406,"('kraft', 'tret')",169,8,15,106.23486344238123
409,"('international', 'organisation')",169,8,15,106.23486344238123
297,"('darub', 'hinaus')",207,10,15,105.74090411956008
4468,"('bitt', 'vorstoss')",39,7,15,105.6139578429862
414,"('beim', 'bundesamt')",168,8,15,105.60625478295884
416,"('weiterentwickl', 'arme')",168,8,15,105.60625478295884
299,"('auftrag', 'gegeb')",206,9,15,105.23007849579409
578,"('nationalrat', 'motion')",138,9,15,105.17532718247175
126,"('beantragt', 'stimm')",339,11,15,105.14252069500158
209,"('nam', 'kommission')",259,11,15,105.01546300001458
420,"('kommission', 'empfiehlt')",167,9,15,104.97764612353647
127,"('bundesrat', 'beauftragt')",338,12,15,104.83236576669773
210,"('unterstutz', 'mind')",258,10,15,104.60999789190642
790,"('mind', 'zuzustimm')",114,11,15,104.45714343365368
303,"('minderheitsantrag', 'abzulehn')",204,10,15,104.20842724826211
304,"('motion', 'annehm')",203,10,15,103.69760162449612
798,"('gibt', 'mehr')",113,7,15,103.54085270177953
306,"('gar', 'mehr')",202,8,15,103.18677600073012
426,"('davon', 'uberzeugt')",164,9,15,103.09182014526935
131,"('mehr', 'wenig')",332,11,15,102.97143619687469
433,"('enthalt', 'abgelehnt')",163,7,15,102.46321148584698
435,"('sech', 'monat')",163,9,15,102.46321148584698
132,"('ablehn', 'motion')",330,10,15,102.35112634026702
214,"('botschaft', 'bundesrat')",252,11,15,102.17720724325743
313,"('rechtlich', 'grundlag')",199,10,15,101.65429912943215
314,"('seit', 'fahn')",199,8,15,101.65429912943215
136,"('gross', 'teil')",327,11,15,101.4206615553555
445,"('nationalrat', 'standerat')",161,10,15,101.20599416700223
315,"('prozent', 'prozent')",198,8,15,101.14347350566617
316,"('richtig', 'gesagt')",198,7,15,101.14347350566617
317,"('vorschlag', 'bundesrat')",198,8,15,101.14347350566617
318,"('verfug', 'gestellt')",198,12,15,101.14347350566617
138,"('volkerrecht', 'vertrag')",326,9,15,101.11050662705166
447,"('gibt', 'grund')",160,11,15,100.57738550757986
448,"('drei', 'punkt')",160,10,15,100.57738550757986
454,"('bundesrat', 'mehrheit')",159,10,15,99.94877684815748
455,"('schutz', 'privatsphar')",159,7,15,99.94877684815748
619,"('zweit', 'etapp')",131,8,15,99.84034681814347
144,"('davon', 'ausgeh')",321,9,15,99.55973198553247
458,"('staatssekretariat', 'migration')",158,8,15,99.32016818873511
145,"('direkt', 'demokrati')",320,10,15,99.24957705722862
462,"('erst', 'blick')",157,10,15,98.69155952931273
464,"('angenomm', 'wurd')",157,11,15,98.69155952931273
78,"('zwanzig', 'jahr')",441,10,15,98.4063061295665
636,"('deshalb', 'motion')",129,7,15,98.31606671404968
149,"('schweiz', 'unternehm')",315,12,15,97.69880241570942
331,"('unterstutz', 'antrag')",191,10,15,97.56769413930422
334,"('seit', 'lang')",190,10,15,97.05686851553824
336,"('initiativ', 'ablehn')",190,11,15,97.05686851553824
231,"('vorlag', 'eintret')",239,9,15,96.90616083785129
474,"('bundesrat', 'bleib')",154,7,15,96.8057335510456
475,"('geschatzt', 'kollegin')",154,7,15,96.8057335510456
649,"('bundesrat', 'mocht')",127,10,15,96.79178660995588
338,"('jahr', 'lang')",189,8,15,96.54604289177225
339,"('zwei', 'drittel')",189,11,15,96.54604289177225
478,"('cvpfraktion', 'unterstutzt')",153,6,15,96.17712489162324
342,"('patientinn', 'patient')",188,8,15,96.03521726800625
238,"('frag', 'gestellt')",236,11,15,95.6897655135268
484,"('standerat', 'kommission')",152,8,15,95.54851623220087
346,"('kommend', 'jahr')",187,10,15,95.52439164424027
680,"('sag', 'nein')",125,8,15,95.26750650586209
488,"('etwa', 'milliard')",151,8,15,94.91990757277848
489,"('bundesrat', 'kommission')",151,9,15,94.91990757277848
490,"('kanton', 'genf')",151,8,15,94.91990757277848
151,"('bitt', 'vorlag')",306,11,15,94.90740806097487
241,"('hoh', 'kost')",234,10,15,94.87883529731046
685,"('sozial', 'sich')",124,7,15,94.5053664538152
688,"('tief', 'einkomm')",124,9,15,94.5053664538152
699,"('dabei', 'geht')",124,10,15,94.5053664538152
352,"('gesagt', 'word')",185,8,15,94.50274039670829
935,"('ehrlich', 'sag')",103,8,15,94.37794538303798
355,"('differenz', 'standerat')",184,10,15,93.9919147729423
356,"('standesinitiativ', 'folg')",184,7,15,93.9919147729423
357,"('jahr', 'mehr')",184,11,15,93.9919147729423
158,"('schweizerinn', 'schweiz')",303,10,15,93.97694327606335
706,"('europa', 'staat')",123,9,15,93.7432264017683
247,"('kommissionsmehr', 'folg')",230,11,15,93.2569748648778
362,"('schweiz', 'international')",182,11,15,92.97026352541032
363,"('ganz', 'genau')",182,9,15,92.97026352541032
248,"('absatz', 'geht')",229,11,15,92.85150975676964
89,"('antrag', 'kommissionsmehr')",415,10,15,92.60457379539706
364,"('diskussion', 'kommission')",181,10,15,92.45943790164432
365,"('anlieg', 'motion')",181,9,15,92.45943790164432
366,"('gibt', 'heut')",181,11,15,92.45943790164432
368,"('halt', 'fest')",181,10,15,92.45943790164432
249,"('neu', 'artikel')",228,10,15,92.44604464866148
162,"('kolleginn', 'kolleg')",298,11,15,92.42616863454415
510,"('kommission', 'diskutiert')",147,9,15,92.405472935089
164,"('verfug', 'stell')",297,13,15,92.11601370624032
5322,"('sinn', 'dank')",34,6,15,92.07370683747514
5536,"('beim', 'schoggigesetz')",34,6,15,92.07370683747514
516,"('bundesamt', 'verkehr')",146,7,15,91.77686427566661
985,"('moglich', 'viel')",100,11,15,91.62907318741551
728,"('darub', 'diskutiert')",120,10,15,91.4568062456276
730,"('erst', 'rund')",120,9,15,91.4568062456276
255,"('europa', 'gerichtshof')",225,10,15,91.22964932433699
165,"('gibt', 'ja')",294,11,15,91.1855489213288
519,"('klar', 'mehrheit')",145,10,15,91.14825561624424
528,"('gerichtshof', 'menschenrecht')",145,9,15,91.14825561624424
372,"('zustand', 'kommission')",178,10,15,90.92696103034635
257,"('antwort', 'bundesrat')",224,10,15,90.82418421622882
742,"('grosst', 'teil')",119,9,15,90.69466619358072
744,"('frank', 'prozent')",119,7,15,90.69466619358072
376,"('mocht', 'kurz')",177,7,15,90.41613540658035
377,"('gemacht', 'wurd')",177,8,15,90.41613540658035
