,Speaker Party,Speaker,"('absatz', 'buchstab')","('angehor', 'arme')","('anlegerinn', 'anleg')","('annahm', 'motion')","('antrag', 'kommissionsmehr')","('antrag', 'mehrheit')","('antrag', 'mind')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('ausdruck', 'gebracht')","('auslanderinn', 'ausland')","('automat', 'informationsaustausch')","('beantragt', 'stimm')","('beid', 'rat')","('beim', 'eintret')","('beruf', 'vorsorg')","('beschluss', 'nationalrat')","('best', 'dank')","('bitt', 'antrag')","('bitt', 'deshalb')","('bitt', 'dringend')","('bitt', 'minderheitsantrag')","('bund', 'kanton')","('bundesrat', 'beantragt')","('bundesrat', 'folg')","('bundesrat', 'ja')","('bundesrat', 'meinung')","('bundesrat', 'merz')","('bundesrat', 'motion')","('bundesrat', 'standerat')","('bundesrat', 'villig')","('bundesrat', 'vorgeschlag')","('daran', 'erinn')","('darauf', 'aufmerksam')","('darauf', 'hinweis')","('darum', 'bitt')","('de', 'la')","('deshalb', 'bundesrat')","('direkt', 'demokrati')","('eidgenoss', 'finanzkontroll')","('eidgenoss', 'steuerverwalt')","('einfach', 'sag')","('elt', 'sorg')","('entwurf', 'bundesrat')","('erneuerbar', 'energi')","('europa', 'gerichtshof')","('europa', 'union')","('fassung', 'bundesrat')","('folg', 'geb')","('frag', 'herr')","('frag', 'herrn')","('frau', 'bundesprasidentin')","('frau', 'bundesratin')","('frau', 'fetz')","('frau', 'kollegin')","('frau', 'leutenegg')","('frau', 'nationalratin')","('ganz', 'klar')","('ganz', 'wichtig')","('geh', 'davon')","('geht', 'darum')","('geht', 'frag')","('geltend', 'recht')","('gemass', 'artikel')","('gesagt', 'word')","('glaub', 'wichtig')","('gross', 'mehrheit')","('grund', 'weshalb')","('herr', 'bundesrat')","('herr', 'kolleg')","('herr', 'nationalrat')","('herr', 'standerat')","('herr', 'visch')","('herrn', 'standerat')","('heut', 'geltend')","('indirekt', 'gegenvorschlag')","('initiativ', 'folg')","('ja', 'schon')","('kanton', 'bern')","('kanton', 'schwyz')","('kanton', 'zurich')","('klar', 'meinung')","('kommission', 'beantragt')","('kommission', 'folg')","('kommission', 'rechtsfrag')","('kommissionssprech', 'gesagt')","('konsumentinn', 'konsument')","('lehnt', 'spfraktion')","('leutenegg', 'oberholz')","('mehr', 'geld')","('mehrheit', 'folg')","('mehrheit', 'kommission')","('mehrheit', 'spfraktion')","('mehrheit', 'svpfraktion')","('mehrheit', 'wak')","('mehrheit', 'zuzustimm')","('mieterinn', 'miet')","('milliard', 'frank')","('mind', 'folg')","('minderheitsantrag', 'abzulehn')","('mocht', 'bitt')","('mocht', 'daran')","('mocht', 'einfach')","('motion', 'abzulehn')","('motion', 'anzunehm')","('nach', 'jahr')","('nam', 'bundesrat')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nationalrat', 'folg')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('patientinn', 'patient')","('pro', 'helvetia')","('rentnerinn', 'rentn')","('rund', 'milliard')","('sag', 'sei')","('sbb', 'cargo')","('seit', 'jahr')","('servic', 'public')","('sicherheitspolit', 'bericht')","('sicht', 'bundesrat')","('sicht', 'spfraktion')","('sinn', 'bitt')","('sozialdemokrat', 'fraktion')","('spfraktion', 'antrag')","('spfraktion', 'beantrag')","('spfraktion', 'begrusst')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'eintret')","('spfraktion', 'empfiehlt')","('spfraktion', 'ersuch')","('spfraktion', 'lehnt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'minderheitsantrag')","('spfraktion', 'steht')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('st', 'gall')","('staatspolit', 'kommission')","('stimm', 'enthalt')","('svpfraktion', 'antrag')","('svpfraktion', 'beantrag')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'unterstutzt')","('svpfraktion', 'vorlag')","('teilt', 'antrag')","('uns', 'kommission')","('uns', 'sicht')","('unterstutzt', 'spfraktion')","('vier', 'jahr')","('volkerrecht', 'vertrag')","('vorlauf', 'aufgenomm')","('vorlauf', 'aufnahm')","('worum', 'geht')","('zwanzig', 'jahr')","('zwei', 'drei')","('zweit', 'saul')"
10,Schweizerische Volkspartei (SVP),Christoph Blocher,9,0,0,0,0,1,2,0,0,13,1,0,0,0,1,0,0,2,0,1,0,0,1,2,1,0,1,1,0,0,0,0,1,0,4,0,12,0,0,0,0,0,1,0,3,0,0,1,4,0,1,1,0,0,1,0,2,0,1,0,0,5,1,2,6,3,0,0,1,0,0,1,0,2,0,0,0,0,2,0,0,0,0,1,4,4,0,0,0,2,0,0,4,0,0,0,3,0,0,0,2,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,1,0,0
11,Schweizerische Volkspartei (SVP),Christoph Mörgeli,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,2,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9,0,3,0,0,2,8,0,1,1,0,2,0,0,8,0,1,2,0,0,0,2,2,13,0,0,3,0,0,0,2,1,0,0,2,0,0,0,3,0,0,0,1,8,0,0,1,1,0,0,0,7,0,0,1,0,0,1,2,3,0,0,0,0,1,4,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0
12,Schweizerische Volkspartei (SVP),Christoph von Rotz,0,0,0,2,0,1,17,0,0,7,0,0,2,0,0,1,0,2,8,5,4,0,6,1,0,1,0,0,1,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,0,1,4,0,5,0,0,8,0,1,4,1,3,3,0,0,1,0,6,4,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,2,5,10,0,2,0,0,0,49,0,2,0,0,1,1,2,3,0,0,16,0,31,9,0,0,0,2,0,0,2,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,7,0,1,0,1,2,2,0,0,0,0,0,1,0,0,0,0,3,0,0
13,Schweizerische Volkspartei (SVP),Elmar Bigger,8,0,0,0,0,3,2,0,0,9,0,0,0,1,0,0,0,1,0,1,1,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,0,0,0,2,0,0,1,5,0,0,0,0,1,0,0,2,0,3,0,0,0,0,0,4,5,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,1,0,1,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0
14,Schweizerische Volkspartei (SVP),Erich von Siebenthal,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,6,0,0,0,0,9,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
15,Schweizerische Volkspartei (SVP),Ernst Schibli,0,0,0,0,0,1,5,0,0,2,0,1,0,1,0,0,4,1,4,3,19,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0,0,1,0,1,1,0,6,0,11,0,0,5,13,0,1,0,0,6,1,0,0,0,1,1,0,0,0,0,5,6,0,0,1,0,0,2,5,1,2,0,5,0,2,1,0,0,4,0,0,2,1,5,0,1,2,1,0,12,0,0,1,0,0,4,0,0,0,0,3,0,0,23,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
16,Schweizerische Volkspartei (SVP),Felix Müri,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,4,2,1,5,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,1,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
17,Schweizerische Volkspartei (SVP),Hannes Germann,6,0,1,7,2,3,16,1,1,35,0,0,1,0,7,3,4,3,0,10,2,0,1,14,4,2,5,0,9,4,1,0,1,0,2,2,18,0,1,2,3,7,4,0,4,3,1,5,0,5,2,0,3,31,4,1,1,0,5,4,3,12,0,10,5,5,1,4,1,18,7,0,0,0,0,0,38,0,0,3,0,3,1,5,0,2,0,1,0,3,2,4,3,0,0,2,0,3,70,9,1,1,0,1,5,5,11,1,0,0,2,1,18,0,3,0,9,6,0,2,0,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,12,0,0,0,0,0,0,0,0,0,0,0,3,1,0,5,2,0,0,3,1,4,7
18,Schweizerische Volkspartei (SVP),Hans Fehr,0,0,0,0,0,2,2,0,3,3,0,0,0,0,0,0,0,0,0,1,4,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,6,2,0,8,0,0,2,0,0,0,0,10,0,1,0,0,3,20,0,1,0,0,2,0,0,5,0,0,1,0,0,3,0,1,4,0,0,10,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,6,0,0,10,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,4,1,1,0,0
19,Schweizerische Volkspartei (SVP),Hans Kaufmann,0,0,0,2,0,4,25,0,0,19,0,0,5,0,0,0,0,0,0,2,7,1,3,5,0,0,1,0,3,2,1,0,0,1,1,1,1,0,2,0,0,0,0,0,1,0,2,0,0,12,0,0,2,5,0,6,7,0,11,0,1,6,1,0,2,1,1,0,1,9,1,0,1,2,0,0,21,12,6,2,0,0,0,1,0,16,0,0,0,20,0,1,15,0,0,5,1,1,32,0,5,0,0,3,0,4,4,0,0,2,0,0,39,0,1,0,2,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,4,2,0,1,0,0,2,0,0,0,6,1,2,0
20,Schweizerische Volkspartei (SVP),Hans Killer,12,0,0,3,1,5,8,0,0,38,0,0,0,0,0,1,0,0,0,4,0,0,6,1,0,0,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,12,0,0,0,9,0,0,0,3,0,0,0,0,1,0,1,3,1,1,4,0,0,3,0,0,3,0,0,0,0,0,4,5,0,0,0,0,3,1,0,0,0,0,0,1,0,8,4,0,2,0,3,0,8,4,1,0,0,1,3,3,1,0,0,16,0,6,26,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,2,0,1,6,1,2,2,0,0,6,0,0,1,0,0,2,1,0,0
21,Schweizerische Volkspartei (SVP),Hans Rutschmann,0,1,0,1,5,4,14,0,1,19,0,0,0,6,3,0,0,3,1,3,22,0,1,9,5,1,0,2,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,3,22,0,0,0,6,0,0,0,3,0,0,2,0,13,0,2,8,0,3,3,0,0,0,1,1,2,0,0,0,0,2,5,6,1,0,0,0,2,1,0,1,0,0,0,3,4,1,1,0,0,0,0,1,14,0,5,0,0,0,10,4,3,0,0,7,0,4,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,8,0,2,2,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,2,3,1
22,Schweizerische Volkspartei (SVP),Hansjörg Walter,1,0,0,1,0,3,3,0,0,3,0,0,2,2,0,0,0,0,0,0,1,0,3,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,3,0,0,0,6,0,0,0,1,3,1,0,2,0,0,4,0,0,0,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,1,1,0,0,0,0,4,0,1,1,1,1,0,0,1,0,0,11,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,1,0,0,0
23,Schweizerische Volkspartei (SVP),Hansruedi Wandfluh,1,0,0,0,1,3,8,0,0,4,0,0,0,0,2,0,0,0,0,3,1,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,4,0,0,3,0,4,0,2,4,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,1,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
24,Schweizerische Volkspartei (SVP),Hermann Bürgi,14,6,0,17,3,4,13,1,10,164,9,3,0,0,13,15,6,21,4,5,3,0,0,29,11,14,4,4,10,11,0,0,9,9,1,28,0,2,3,1,3,4,15,0,33,0,1,5,8,14,2,1,6,40,16,16,0,0,41,7,6,50,17,34,43,5,1,1,36,66,22,0,0,0,0,2,43,9,4,1,0,3,12,12,8,74,1,5,0,1,5,3,27,0,0,1,2,1,8,2,3,2,3,20,13,16,5,0,0,0,9,4,77,0,47,0,3,8,2,2,10,18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,21,0,0,0,0,0,0,0,0,0,0,0,35,4,0,6,5,0,0,12,2,4,1
25,Schweizerische Volkspartei (SVP),J. Alexander Baumann,0,1,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,7,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
