,Speaker Party,Phrase,tf_idf
4543,Schweizerische Volkspartei (SVP),"('dam', 'herr')",25.87183203516897
4544,Schweizerische Volkspartei (SVP),"('davon', 'ausgeh')",25.544301810814357
4545,Schweizerische Volkspartei (SVP),"('herr', 'visch')",25.388593383263096
4546,Schweizerische Volkspartei (SVP),"('volkerrecht', 'vertrag')",25.332835534436285
4547,Schweizerische Volkspartei (SVP),"('mechanisiert', 'brigad')",24.95329850015803
4548,Schweizerische Volkspartei (SVP),"('lehnt', 'svpfraktion')",24.849066497880003
4549,Schweizerische Volkspartei (SVP),"('extern', 'kinderbetreu')",24.849066497880003
4550,Schweizerische Volkspartei (SVP),"('traditionell', 'osthilf')",24.849066497880003
4551,Schweizerische Volkspartei (SVP),"('auftrag', 'erfull')",24.513124645909194
4552,Schweizerische Volkspartei (SVP),"('zivil', 'behord')",24.254842532970912
4553,Schweizerische Volkspartei (SVP),"('best', 'dank')",24.254842532970912
4554,Schweizerische Volkspartei (SVP),"('europa', 'union')",24.16529408594959
4555,Schweizerische Volkspartei (SVP),"('ja', 'imm')",23.9224413783817
4556,Schweizerische Volkspartei (SVP),"('seit', 'fahn')",23.715846032238225
4557,Schweizerische Volkspartei (SVP),"('kommission', 'rechtsfrag')",23.58992994104603
4558,Schweizerische Volkspartei (SVP),"('sech', 'woch')",23.56700413903814
4559,Schweizerische Volkspartei (SVP),"('herr', 'link')",23.292873099964716
4560,Schweizerische Volkspartei (SVP),"('svpfraktion', 'artikel')",23.292873099964716
4561,Schweizerische Volkspartei (SVP),"('geschatzt', 'kollegin')",23.176849531505535
4562,Schweizerische Volkspartei (SVP),"('sich', 'schweiz')",23.11151116216537
4563,Schweizerische Volkspartei (SVP),"('al', 'kaida')",22.762187171201397
4564,Schweizerische Volkspartei (SVP),"('viel', 'dank')",22.706046054057204
4565,Schweizerische Volkspartei (SVP),"('viel', 'leut')",22.63785303077285
4566,Schweizerische Volkspartei (SVP),"('ganz', 'einfach')",22.439201651238907
4567,Schweizerische Volkspartei (SVP),"('svpfraktion', 'bittet')",22.364159848092005
4568,Schweizerische Volkspartei (SVP),"('sicht', 'svpfraktion')",22.364159848092005
4569,Schweizerische Volkspartei (SVP),"('unterstutz', 'grenzwachtkorps')",22.364159848092005
4570,Schweizerische Volkspartei (SVP),"('svpfraktion', 'stimmt')",22.364159848092005
4571,Schweizerische Volkspartei (SVP),"('offent', 'spitex')",22.364159848092005
4572,Schweizerische Volkspartei (SVP),"('sich', 'europas')",22.364159848092005
4573,Schweizerische Volkspartei (SVP),"('ausserhalb', 'finanzbranch')",22.364159848092005
4574,Schweizerische Volkspartei (SVP),"('sag', 'nein')",22.098856530040162
4575,Schweizerische Volkspartei (SVP),"('nationalrat', 'folg')",21.895115837840876
4576,Schweizerische Volkspartei (SVP),"('this', 'jenny')",21.886718433847495
4577,Schweizerische Volkspartei (SVP),"('geh', 'davon')",21.513943701686642
4578,Schweizerische Volkspartei (SVP),"('han', 'pet')",21.50111363073666
4579,Schweizerische Volkspartei (SVP),"('pet', 'gerschwil')",21.50111363073666
4580,Schweizerische Volkspartei (SVP),"('svpfraktion', 'beantrag')",21.50111363073666
4581,Schweizerische Volkspartei (SVP),"('svpfraktion', 'eintret')",21.50111363073666
4582,Schweizerische Volkspartei (SVP),"('gefahr', 'tat')",21.50111363073666
4583,Schweizerische Volkspartei (SVP),"('nein', 'sag')",21.489650729732713
4584,Schweizerische Volkspartei (SVP),"('einzig', 'allein')",21.08418562162455
4585,Schweizerische Volkspartei (SVP),"('national', 'finanzausgleich')",20.79441541679836
4586,Schweizerische Volkspartei (SVP),"('revision', 'militargesetz')",20.79441541679836
4587,Schweizerische Volkspartei (SVP),"('etwa', 'prozent')",20.71310921652822
4588,Schweizerische Volkspartei (SVP),"('stimm', 'enthalt')",20.70870772353187
4589,Schweizerische Volkspartei (SVP),"('schon', 'gar')",20.678720513516385
4590,Schweizerische Volkspartei (SVP),"('bundesrat', 'schneiderammann')",20.481867027842103
4591,Schweizerische Volkspartei (SVP),"('richtig', 'gesagt')",20.273255405408218
4592,Schweizerische Volkspartei (SVP),"('mind', 'folg')",20.237692804128958
4593,Schweizerische Volkspartei (SVP),"('nam', 'mind')",20.13774507162466
4594,Schweizerische Volkspartei (SVP),"('aussenpolit', 'kommission')",19.942870527109417
4595,Schweizerische Volkspartei (SVP),"('arme', 'etwa')",19.879253198304003
4596,Schweizerische Volkspartei (SVP),"('svpfraktion', 'steht')",19.879253198304003
4597,Schweizerische Volkspartei (SVP),"('sag', 'svpfraktion')",19.879253198304003
4598,Schweizerische Volkspartei (SVP),"('mehrwertsteuererhoh', 'prozentpunkt')",19.879253198304003
4599,Schweizerische Volkspartei (SVP),"('arme', 'vertrau')",19.879253198304003
4600,Schweizerische Volkspartei (SVP),"('dritt', 'brigad')",19.879253198304003
4601,Schweizerische Volkspartei (SVP),"('allgemein', 'wehrpflicht')",19.867790297300054
