,Speaker Party,Speaker,"('absatz', 'artikel')","('absatz', 'buchstab')","('absatz', 'bundesverfass')","('absatz', 'litera')","('absatz', 'streich')","('acht', 'kanton')","('ahv', 'iv')","('allgemein', 'teil')","('allgemein', 'volksinitiativ')","('antrag', 'artikel')","('antrag', 'kommission')","('antrag', 'kommissionsmehr')","('antrag', 'mehrheit')","('antrag', 'mind')","('antrag', 'plattn')","('antrag', 'stell')","('antwort', 'bundesrat')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('artikel', 'or')","('ausdruck', 'gebracht')","('auseinand', 'gesetzt')","('auslanderinn', 'ausland')","('aussenpolit', 'kommission')","('beantragt', 'einstimm')","('beantragt', 'kommission')","('beantragt', 'stimm')","('beid', 'rat')","('beim', 'bund')","('beim', 'eintret')","('bereit', 'erwahnt')","('bereit', 'heut')","('beschluss', 'nationalrat')","('besteht', 'darin')","('betrag', 'million')","('betroff', 'person')","('bilateral', 'abkomm')","('bitt', 'antrag')","('bitt', 'dah')","('bitt', 'deshalb')","('bitt', 'mehrheit')","('bitt', 'nam')","('botschaft', 'bundesrat')","('brunn', 'christian')","('buchstab', 'a')","('buchstab', 'b')","('buchstab', 'c')","('bund', 'kanton')","('bundesamt', 'auslanderfrag')","('bundesamt', 'fluchtling')","('bundesamt', 'justiz')","('bundesamt', 'polizei')","('bundesprasident', 'leuenberg')","('bundesrat', 'antrag')","('bundesrat', 'bereit')","('bundesrat', 'entwurf')","('bundesrat', 'folg')","('bundesrat', 'leuenberg')","('bundesrat', 'losung')","('bundesrat', 'meinung')","('bundesrat', 'nationalrat')","('bundesrat', 'standerat')","('bundesrat', 'villig')","('bundesratin', 'dreifuss')","('corporat', 'governanc')","('cvpfraktion', 'antrag')","('cvpfraktion', 'beantragt')","('cvpfraktion', 'begrusst')","('cvpfraktion', 'bitt')","('cvpfraktion', 'eintret')","('cvpfraktion', 'lehnt')","('cvpfraktion', 'mehrheit')","('cvpfraktion', 'meinung')","('cvpfraktion', 'unterstutzt')","('d', 'h')","('dafur', 'empfehl')","('dafur', 'verstandnis')","('darauf', 'hingewies')","('darf', 'sag')","('darum', 'geht')","('davon', 'ausgeh')","('de', 'dardel')","('delegiert', 'minist')","('demograph', 'entwickl')","('deshalb', 'meinung')","('deshalb', 'muss')","('deshalb', 'richtig')","('direkt', 'bundessteu')","('diskussion', 'kommission')","('drei', 'jahr')","('einfuhr', 'tarmed')","('einseit', 'massnahm')","('einstimm', 'kommission')","('embryonal', 'stammzell')","('entscheid', 'fall')","('entscheid', 'gefallt')","('entsprech', 'antrag')","('entwurf', 'bundesrat')","('erneuerbar', 'energi')","('erst', 'lesung')","('erst', 'lini')","('erteil', 'rahmenbewill')","('etwa', 'million')","('europa', 'union')","('fassung', 'bundesrat')","('fassung', 'nationalrat')","('fdpfraktion', 'antrag')","('fdpfraktion', 'beantrag')","('fdpfraktion', 'begrusst')","('fdpfraktion', 'bitt')","('fdpfraktion', 'eintret')","('fdpfraktion', 'empfehl')","('fdpfraktion', 'empfiehlt')","('fdpfraktion', 'lehnt')","('fdpfraktion', 'mehrheit')","('fdpfraktion', 'steht')","('fdpfraktion', 'unterstutzt')","('fdpfraktion', 'vorlag')","('flankier', 'massnahm')","('flughaf', 'zurich')","('folg', 'geb')","('frag', 'herrn')","('frank', 'jahr')","('frank', 'mehr')","('frank', 'wenig')","('frau', 'beerli')","('frau', 'brunn')","('frau', 'fassl')","('frau', 'forst')","('frau', 'spoerry')","('freiwill', 'ahv')","('fried', 'sicherheitspolit')","('funf', 'jahr')","('ganz', 'einfach')","('ganz', 'klar')","('ganz', 'kurz')","('ganz', 'schweiz')","('ganz', 'wichtig')","('gefahr', 'straftat')","('gegeb', 'zeit')","('geht', 'darum')","('geht', 'frag')","('geltend', 'recht')","('gemacht', 'word')","('gemass', 'artikel')","('gemass', 'bundesrat')","('gesagt', 'word')","('geschied', 'witw')","('gesetz', 'grundlag')","('gewiss', 'verstandnis')","('gross', 'mehrheit')","('grund', 'dafur')","('grund', 'weshalb')","('herr', 'brandli')","('herr', 'buttik')","('herr', 'david')","('herr', 'hofmann')","('herr', 'kolleg')","('herr', 'leuenberg')","('herr', 'maiss')","('herr', 'merz')","('herr', 'plattn')","('herr', 'reimann')","('herr', 'schluer')","('herr', 'schmid')","('herr', 'schweig')","('herr', 'stadl')","('herr', 'stahelin')","('herr', 'strahm')","('herrn', 'bundesprasident')","('herrn', 'david')","('herrn', 'kolleg')","('herrn', 'leuenberg')","('hess', 'han')","('heut', 'morg')","('initiativ', 'folg')","('inn', 'sich')","('ja', 'schon')","('jurist', 'person')","('kanton', 'gemeind')","('kanton', 'luz')","('kanton', 'uri')","('kanton', 'zurich')","('kenntnis', 'nehm')","('kinderlos', 'witw')","('klar', 'meinung')","('klein', 'kanton')","('kolleg', 'david')","('kolleg', 'leuenberg')","('kolleg', 'maiss')","('kolleg', 'plattn')","('kolleg', 'schmid')","('kommission', 'antrag')","('kommission', 'artikel')","('kommission', 'auffass')","('kommission', 'beantragt')","('kommission', 'bundesrat')","('kommission', 'folg')","('kommission', 'meinung')","('kommission', 'rechtsfrag')","('kommission', 'stimm')","('kommission', 'wurd')","('kommission', 'zuzustimm')","('konstruktiv', 'referendum')","('konsumentinn', 'konsument')","('kurz', 'bemerk')","('landlich', 'raum')","('lang', 'zeit')","('lasst', 'mitteil')","('letzt', 'mal')","('leutenegg', 'oberholz')","('litera', 'b')","('losung', 'find')","('mehr', 'benotigt')","('mehr', 'geld')","('mehrheit', 'bleib')","('mehrheit', 'cvpfraktion')","('mehrheit', 'fdpfraktion')","('mehrheit', 'folg')","('mehrheit', 'kommission')","('mehrheit', 'svpfraktion')","('mehrheit', 'zuzustimm')","('meinung', 'bundesrat')","('meinung', 'kommission')","('meinung', 'mehrheit')","('meinung', 'sei')","('meinung', 'soll')","('mieterinn', 'miet')","('million', 'frank')","('mind', 'i')","('mind', 'ii')","('mind', 'kommission')","('minderheitsantrag', 'abzulehn')","('mitarbeiterinn', 'mitarbeit')","('mitteil', 'mehrheit')","('mocht', 'beliebt')","('mocht', 'daran')","('mocht', 'einfach')","('mocht', 'kurz')","('monist', 'syst')","('motion', 'postulat')","('motion', 'uberweis')","('nach', 'generation')","('nach', 'jahr')","('nam', 'bundesrat')","('nam', 'cvpfraktion')","('nam', 'fdpfraktion')","('nam', 'kommission')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nation', 'uni')","('nationalrat', 'artikel')","('nationalrat', 'beschloss')","('nationalrat', 'bloch')","('nationalrat', 'folg')","('nationalrat', 'kommission')","('natur', 'person')","('neu', 'artikel')","('neu', 'auslandergesetz')","('neu', 'finanzausgleich')","('neu', 'steu')","('offent', 'verkehr')","('organisation', 'arbeitswelt')","('parlamentar', 'initiativ')","('pensionskass', 'bund')","('postulat', 'uberweis')","('pro', 'helvetia')","('pro', 'jahr')","('rechnung', 'getrag')","('rechnung', 'trag')","('richtig', 'richtung')","('rund', 'milliard')","('sag', 'bundesrat')","('sag', 'darf')","('schluss', 'gekomm')","('schmid', 'carlo')","('schon', 'erwahnt')","('schon', 'gesagt')","('schriftlich', 'bericht')","('schweizer', 'nationalbank')","('sech', 'jahr')","('seit', 'jahr')","('servic', 'public')","('sinkend', 'beitragsskala')","('sinn', 'bitt')","('spfraktion', 'bitt')","('spfraktion', 'mocht')","('spfraktion', 'unterstutzt')","('st', 'gall')","('staatspolit', 'kommission')","('standerat', 'folg')","('stell', 'fest')","('stellung', 'nehm')","('stimm', 'enthalt')","('strukturell', 'defizit')","('svpfraktion', 'antrag')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'stimmt')","('svpfraktion', 'unterstutzt')","('teil', 'meinung')","('uberzahl', 'embryon')","('uns', 'kommission')","('verdeckt', 'ermittl')","('verdeckt', 'ermittlungsperson')","('vergang', 'jahr')","('vier', 'jahr')","('volk', 'stand')","('vollig', 'klar')","('vorberat', 'kommission')","('vorlauf', 'aufnahm')","('vorstoss', 'motion')","('vorstoss', 'rahm')","('votum', 'herrn')","('werdend', 'leb')","('wirtschaft', 'leistungsfah')","('wurd', 'bereit')","('wurd', 'kommission')","('zehn', 'jahr')","('zuhand', 'materiali')","('zwanzig', 'jahr')","('zwei', 'drei')","('zwei', 'drittel')","('zweit', 'etapp')","('zweit', 'saul')"
23,Christlichdemokratische Volkspartei der Schweiz (CVP),Joseph Deiss,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,0,1,1,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0
24,Christlichdemokratische Volkspartei der Schweiz (CVP),Kathy Riklin,0,0,1,2,0,0,0,0,0,1,0,0,4,10,0,0,2,0,0,7,0,0,0,0,3,0,0,0,0,3,1,3,0,0,0,2,0,5,3,4,0,4,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,1,3,1,2,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,7,0,1,0,2,3,0,0,2,0,0,0,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,1,4,0,3,1,6,0,0,2,0,2,0,0,0,1,0,0,35,2,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,8,3,2,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,5,0,0,0,0,0,0,1,2,0,5,2,3,0,0,0,1,0,0
25,Christlichdemokratische Volkspartei der Schweiz (CVP),Lucrezia Meier-Schatz,3,3,3,5,3,0,1,0,0,0,0,1,5,25,0,0,1,3,0,40,0,0,11,0,0,1,0,1,3,1,0,5,9,1,0,0,2,1,1,9,0,1,3,0,0,1,1,1,2,0,0,0,0,0,0,3,1,0,0,0,1,1,2,2,2,4,4,0,1,2,0,2,1,1,1,13,0,0,5,0,0,1,0,0,1,0,1,0,13,0,2,0,1,0,0,0,0,0,1,0,0,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,0,0,0,1,0,0,0,0,1,0,43,1,0,0,0,0,2,0,7,0,4,4,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,2,4,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,2,3,1,0,3,0,0,0,1,0,6,2,0,2,3,1,0,1,0,0,5,0,5,22,0,4,0,0,0,0,0,0,21,14,12,4,2,3,0,0,0,2,3,0,4,0,1,1,0,8,0,0,0,2,0,0,2,0,1,0,0,2,0,0,4,0,0,7,0,3,0,4,3,3,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,5,0,1,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,1,0,0,0,0,1,1,0,4,4,1,10,0,1,0,0,0,0
26,Christlichdemokratische Volkspartei der Schweiz (CVP),Marianne Slongo,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,1,0,1,0,2,0,0,2,0,1,0,0,0,0,2,0,0,2,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
27,Christlichdemokratische Volkspartei der Schweiz (CVP),Melchior Ehrler,0,1,0,0,2,0,1,0,0,0,6,0,5,20,0,0,2,0,0,3,0,2,4,0,0,0,1,4,0,1,0,1,0,3,1,0,0,0,1,0,1,3,2,0,0,1,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,2,1,2,0,4,3,1,2,0,0,4,1,8,1,0,0,1,1,0,0,0,11,0,0,0,0,0,0,0,2,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,4,15,5,0,1,0,0,7,14,0,0,1,0,3,0,1,0,2,1,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,5,3,2,8,2,1,1,0,6,3,0,0,18,0,1,0,0,3,0,0,2,5,0,2,7,0,4,28,0,5,0,2,1,1,0,0,32,10,6,0,6,0,0,0,5,10,5,0,1,2,0,2,0,6,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,1,1,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,4,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,5,2,0,1,0,0,0,0,0,0,3,4,1,0,0,10,1,0,0
28,Christlichdemokratische Volkspartei der Schweiz (CVP),Odilo Schmid,0,1,0,0,0,0,0,0,0,2,1,1,7,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,1,0,0,0,0,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,1,0,5,0,4,4,0,1,0,0,0,0,0,0,15,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,4,0,0,0,0,0,0,2,3,0,0,0,0,6,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0
29,Christlichdemokratische Volkspartei der Schweiz (CVP),Peter Bieri,12,36,1,4,2,0,0,0,0,2,5,0,15,21,2,3,8,0,24,148,0,5,6,2,0,8,9,16,6,3,5,2,19,21,1,4,3,1,4,0,8,0,1,7,1,18,10,12,31,2,0,6,3,2,1,10,10,7,8,0,3,3,4,1,3,0,0,0,0,0,0,0,0,0,0,27,0,0,18,3,3,4,0,0,0,0,1,3,1,5,10,0,0,2,44,1,1,2,13,2,2,9,0,10,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,5,2,2,3,0,0,3,4,0,0,11,3,16,6,2,0,0,0,13,7,2,1,15,4,5,0,11,0,2,2,5,0,0,0,1,3,1,1,0,1,3,0,7,0,2,0,0,1,1,0,0,5,6,3,1,1,0,5,7,4,1,9,0,2,2,0,0,1,0,4,7,0,0,30,8,7,5,0,6,18,3,0,5,4,0,3,0,3,0,0,3,0,0,0,0,0,0,24,0,1,0,6,2,0,0,0,110,5,3,6,0,0,0,0,3,3,4,0,6,5,0,18,0,0,0,9,0,0,0,2,11,0,12,8,0,7,0,7,1,19,9,14,1,13,0,7,10,16,2,6,0,0,6,7,0,2,4,0,0,1,16,0,5,0,0,0,4,0,0,4,8,16,0,0,0,0,0,0,0,0,0,0,0,23,57,0,0,11,18,6,0,14,0,0,0,0,4,0,2,4,9,0,1,1,0,1,0
30,Christlichdemokratische Volkspartei der Schweiz (CVP),Peter Hess,3,0,0,0,0,0,1,1,0,7,5,1,4,24,0,0,3,0,1,32,1,4,1,0,2,14,3,19,6,0,0,0,0,2,0,2,0,0,2,2,1,0,0,0,0,0,0,0,2,0,0,0,1,4,2,3,0,0,1,1,0,0,0,7,6,0,0,1,0,0,0,0,2,0,1,9,0,0,2,1,5,1,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,1,0,0,0,0,0,9,0,0,0,0,1,0,4,0,1,0,0,1,5,0,0,0,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,0,0,0,0,4,10,0,0,1,2,0,0,1,4,0,1,5,0,0,0,0,0,1,0,1,45,1,0,0,1,0,0,0,0,0,0,0,0,79,0,12,0,2,0,2,0,0,0,3,2,0,1,0,1,0,0,0,2,13,11,9,2,0,5,33,0,0,0,3,0,7,6,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,16,1,3,0,0,0,2,0,3,1,0,0,0,0,3,0,0,0,1,0,1,0,0,0,1,2,3,0,4,2,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,1,0,2,2,0,0,0,2,0,4,1,1,4,1,0,0
31,Christlichdemokratische Volkspartei der Schweiz (CVP),Philipp Stähelin,5,13,1,3,0,1,1,1,0,1,6,3,7,12,4,1,10,3,5,41,0,0,2,1,3,0,1,1,1,1,4,0,4,6,1,1,0,1,5,0,7,3,1,9,1,4,7,0,14,0,0,6,0,0,0,4,2,1,0,0,1,4,0,3,6,5,0,0,0,0,0,0,0,0,0,3,0,0,18,3,9,1,0,1,3,1,2,0,1,1,13,7,1,0,0,0,0,1,12,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,6,5,0,1,4,0,0,12,0,18,5,0,0,0,2,23,4,4,1,5,1,1,0,12,1,1,0,0,0,4,0,0,4,3,0,2,1,0,0,1,0,0,0,0,6,0,2,0,1,8,1,0,3,2,7,0,0,1,3,2,0,4,1,3,1,0,2,4,1,0,9,2,1,0,0,1,1,1,0,0,0,2,3,0,1,0,3,3,3,1,1,0,0,2,5,0,4,1,2,0,0,0,0,26,2,0,2,0,1,0,0,0,2,2,14,3,6,0,4,0,0,0,1,0,0,0,0,1,0,3,1,0,1,0,7,1,0,0,3,0,1,0,1,5,2,6,1,0,4,1,4,0,2,0,0,3,5,0,4,1,0,0,0,0,2,0,14,3,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,1,13,4,8,1,0,2,0,2,0,2,1,1,6,0,0,4,1,0,1
32,Christlichdemokratische Volkspartei der Schweiz (CVP),Remo Giosué Galli,0,2,3,0,0,0,0,0,0,1,1,0,0,7,0,0,0,0,0,9,0,0,1,0,0,0,0,0,2,0,0,0,1,0,2,1,0,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,1,5,13,0,0,2,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,7,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,65,1,2,1,0,0,0,0,0,3,1,0,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,29,6,0,0,1,2,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,1,0,0,0,0,1,3,1,1,1,2,0,0,0
33,Christlichdemokratische Volkspartei der Schweiz (CVP),Rolf Escher,0,1,0,1,0,0,0,0,1,1,0,0,1,5,0,2,1,0,0,3,0,0,1,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,1,0,0,0,0,0,4,1,0,1,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,8,0,0,0,0,0,0,1,0,1,1,2,0,3,1,0,0,3,1,2,0,0,0,2,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,10,3,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,5,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
34,Christlichdemokratische Volkspartei der Schweiz (CVP),Rosmarie Dormann,11,10,7,0,0,0,5,1,0,1,9,7,8,22,0,0,0,0,0,67,0,0,1,5,0,0,0,1,2,0,0,2,0,0,0,0,0,0,8,0,5,3,9,0,0,1,5,4,1,0,0,0,0,0,1,2,0,2,0,0,0,1,1,1,3,0,1,0,0,1,0,0,0,0,1,16,0,0,0,1,0,2,0,0,2,1,1,0,3,1,17,0,0,1,23,0,0,0,5,0,8,7,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,3,1,0,0,0,0,0,0,0,13,0,14,1,2,0,0,0,2,1,7,1,3,1,0,16,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,1,0,17,0,0,0,0,0,0,0,6,3,0,1,2,1,2,0,15,2,5,0,0,0,0,1,0,0,0,0,0,2,0,0,4,0,0,46,0,5,1,0,2,0,0,0,56,23,17,5,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,4,24,1,7,2,5,0,0,0,0,0,0,0,3,4,4,0,16,2,0,0,0,0,0,1,0,0,21,0,0,0,0,0,0,0,1,0,0,0,21,3,0,0,5,4,0,0,0,0,0,0,0,0,0,0,3,6,0,6,3,7,0,22
35,Christlichdemokratische Volkspartei der Schweiz (CVP),Rosmarie Zapfl,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,1,0,0,1,0,7,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,1,4,2,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,2
