,Speaker Party,Speaker,"('ablehn', 'motion')","('absatz', 'artikel')","('absatz', 'buchstab')","('administrativ', 'aufwand')","('all', 'grund')","('annahm', 'motion')","('antrag', 'bundesrat')","('antrag', 'kommission')","('antrag', 'mehrheit')","('antrag', 'mind')","('antwort', 'bundesrat')","('arbeitnehmerinn', 'arbeitnehm')","('art', 'weis')","('artikel', 'absatz')","('ausricht', 'antrag')","('beantrag', 'nam')","('beantragt', 'ablehn')","('beantragt', 'annahm')","('beantragt', 'diskussion')","('beantragt', 'ebenfall')","('beantragt', 'einstimm')","('beantragt', 'kurz')","('beantragt', 'stimm')","('befriedigt', 'diskussion')","('beid', 'rat')","('bereit', 'erwahnt')","('bereit', 'heut')","('bericht', 'kommission')","('beruf', 'vorsorg')","('beschluss', 'nationalrat')","('big', 'to')","('bitt', 'bundesrat')","('bitt', 'dah')","('bitt', 'deshalb')","('bitt', 'mehrheit')","('bitt', 'nam')","('buchstab', 'a')","('bund', 'kanton')","('bundesrat', 'beantragt')","('bundesrat', 'befriedigt')","('bundesrat', 'folg')","('bundesrat', 'leuenberg')","('bundesrat', 'parlament')","('bundesratin', 'widmerschlumpf')","('burg', 'partei')","('burgerinn', 'burg')","('cvpevpglpfraktion', 'bitt')","('cvpevpglpfraktion', 'unterstutzt')","('d', 'h')","('dah', 'find')","('dam', 'herr')","('dank', 'bundesrat')","('darauf', 'aufmerksam')","('darauf', 'hingewies')","('darauf', 'hinweis')","('darum', 'bitt')","('deshalb', 'bitt')","('direkt', 'bundessteu')","('direkt', 'demokrati')","('direkt', 'gegenentwurf')","('direkt', 'gegenvorschlag')","('diskussion', 'beantragt')","('diskussion', 'einverstand')","('drei', 'jahr')","('eidgenoss', 'steuerverwalt')","('einfach', 'sag')","('end', 'jahr')","('entwurf', 'bundesrat')","('erhalt', 'kommission')","('erneuerbar', 'energi')","('erst', 'lini')","('eth', 'zurich')","('etwa', 'million')","('europa', 'union')","('fakultativ', 'referendum')","('famili', 'kind')","('fdpliberal', 'fraktion')","('financial', 'stability')","('flankier', 'massnahm')","('folg', 'geb')","('frag', 'stell')","('fraktion', 'cvpevpglpfraktion')","('frank', 'pro')","('frau', 'bundesprasidentin')","('frau', 'bundesratin')","('frau', 'dien')","('frau', 'fetz')","('frau', 'forst')","('frau', 'kollegin')","('frau', 'meierschatz')","('frau', 'nationalratin')","('frau', 'sommaruga')","('freisinnigdemokrat', 'fraktion')","('ganz', 'klar')","('geh', 'davon')","('geht', 'darum')","('geht', 'frag')","('geltend', 'recht')","('gemass', 'artikel')","('gesagt', 'word')","('gross', 'zahl')","('grund', 'weshalb')","('herr', 'bundesprasident')","('herr', 'bundesrat')","('herr', 'buttik')","('herr', 'kolleg')","('herr', 'nationalrat')","('herr', 'spuhl')","('herr', 'stahelin')","('herr', 'standerat')","('herrn', 'bundesrat')","('herrn', 'kolleg')","('herrn', 'standerat')","('hoh', 'vergut')","('indirekt', 'gegenvorschlag')","('initiativ', 'folg')","('interess', 'daran')","('international', 'wahrungsfond')","('interpellant', 'schriftlich')","('ja', 'nein')","('ja', 'schon')","('jurist', 'person')","('kalt', 'progression')","('kanton', 'gemeind')","('kenntnis', 'genomm')","('kenntnis', 'nehm')","('klar', 'meinung')","('kolleg', 'david')","('kolleg', 'schweig')","('kommission', 'beantragt')","('kommission', 'erhalt')","('kommission', 'folg')","('kommission', 'rechtsfrag')","('kommission', 'stimm')","('kommission', 'verkehr')","('konsumentinn', 'konsument')","('lang', 'zeit')","('lasst', 'ausricht')","('letzt', 'bemerk')","('letzt', 'jahr')","('letzt', 'mal')","('letzt', 'punkt')","('letzt', 'woch')","('leutenegg', 'oberholz')","('liegt', 'schriftlich')","('losung', 'find')","('macht', 'sinn')","('mehrheit', 'folg')","('mehrheit', 'kommission')","('mehrheit', 'svpfraktion')","('mehrheit', 'zuzustimm')","('mieterinn', 'miet')","('milliard', 'frank')","('million', 'frank')","('mind', 'folg')","('mind', 'i')","('mind', 'ii')","('minderheitsantrag', 'abzulehn')","('mitglied', 'bundesrat')","('mocht', 'darauf')","('mocht', 'einfach')","('motion', 'abzulehn')","('motion', 'anzunehm')","('nach', 'jahr')","('nam', 'cvpevpglpfraktion')","('nam', 'fdpfraktion')","('nam', 'fdpliberal')","('nam', 'kommission')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nationalrat', 'beschloss')","('nationalrat', 'folg')","('natur', 'person')","('neu', 'unternehmenssteu')","('oberst', 'organ')","('offent', 'hand')","('offent', 'interess')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('patientinn', 'patient')","('polit', 'entscheid')","('pro', 'helvetia')","('pro', 'jahr')","('produzier', 'landwirtschaft')","('rapp', 'pro')","('recht', 'gesagt')","('regional', 'erschopf')","('richterinn', 'richt')","('richtig', 'gesagt')","('roll', 'spiel')","('rund', 'milliard')","('sag', 'ja')","('sbb', 'cargo')","('schon', 'gesagt')","('schriftlich', 'antwort')","('schriftlich', 'bericht')","('schweiz', 'eu')","('schweiz', 'schul')","('schweizer', 'nationalbank')","('seit', 'fahn')","('sicherheitspolit', 'bericht')","('sicherheitspolit', 'kommission')","('sicht', 'bundesrat')","('sicht', 'spfraktion')","('sinn', 'bitt')","('sozialdemokratinn', 'sozialdemokrat')","('spfraktion', 'antrag')","('spfraktion', 'beantrag')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'eintret')","('spfraktion', 'klar')","('spfraktion', 'lehnt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'minderheitsantrag')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('st', 'gall')","('staatspolit', 'kommission')","('stell', 'fest')","('stimm', 'enthalt')","('svpfraktion', 'beantrag')","('svpfraktion', 'beantragt')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'eintret')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'unterstutzt')","('to', 'fail')","('too', 'big')","('uns', 'kommission')","('uns', 'meinung')","('unterstutzt', 'antrag')","('unterstutzt', 'spfraktion')","('vergang', 'jahr')","('verkehr', 'fernmeldewes')","('vorberat', 'kommission')","('vorlag', 'einzutret')","('weshalb', 'bundesrat')","('wirtschaft', 'leistungsfah')","('worum', 'geht')","('wurd', 'kommission')","('z', 'b')","('zehn', 'jahr')","('zwei', 'drei')","('zwingend', 'volkerrecht')"
30,Christlichdemokratische Volkspartei der Schweiz (CVP),Reto Wehrli,0,1,2,0,1,1,0,0,7,16,0,2,2,32,0,2,0,1,0,0,0,0,3,0,1,2,1,1,10,1,0,0,0,2,3,7,0,1,1,0,1,0,3,0,0,1,0,3,2,0,0,0,0,2,0,0,3,0,2,0,0,0,0,4,0,0,1,0,1,0,0,0,3,1,9,0,0,0,4,9,1,0,8,0,3,0,0,0,2,0,0,0,0,5,1,1,4,2,16,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,9,1,2,0,0,3,0,0,0,1,1,2,0,0,3,0,0,1,7,0,0,5,0,0,13,2,0,1,0,0,1,0,4,12,0,2,0,36,18,0,4,3,2,0,0,0,2,1,2,0,0,0,4,0,0,0,0,0,0,1,0,0,0,16,1,0,0,7,0,4,0,0,2,0,1,5,0,0,0,0,0,5,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,22,2,0,0,10,4,3,6,2,0
31,Christlichdemokratische Volkspartei der Schweiz (CVP),Roberto Schmidt,0,0,0,3,0,4,2,0,3,4,1,0,0,8,0,0,0,0,0,0,0,0,4,0,1,0,7,1,0,0,0,0,1,3,1,1,1,4,0,0,0,0,1,2,0,2,0,1,2,0,0,3,1,0,3,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,0,15,1,1,9,0,4,0,0,0,0,0,0,0,0,9,2,6,0,1,2,0,0,0,0,3,0,3,0,0,0,0,1,0,0,0,4,11,0,0,0,0,0,3,0,17,1,0,1,0,0,3,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,1,11,0,4,0,1,19,1,5,1,4,0,2,0,0,2,0,0,0,0,3,0,0,1,0,2,0,0,1,1,0,35,0,3,0,9,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,12,0,0,0,0,0,0,0,0,0,0,8,0,1,0,1,0,0,6,0,1,2,3,1,4,1,0
32,Christlichdemokratische Volkspartei der Schweiz (CVP),Ruedi Lustenberger,0,2,3,3,0,4,2,3,1,16,1,1,8,20,0,1,0,1,0,0,1,0,1,0,2,1,0,0,0,0,0,3,2,2,4,7,2,5,1,0,2,14,1,0,0,7,1,2,0,0,2,0,2,3,1,0,8,0,0,0,3,0,0,1,0,2,1,1,0,4,3,0,1,0,1,0,0,0,0,6,4,0,0,9,17,0,0,0,0,0,0,1,0,1,2,2,1,4,4,0,0,1,4,21,0,1,0,0,0,0,7,0,1,0,4,2,0,0,0,0,0,0,0,5,1,1,0,0,0,3,0,1,1,2,0,4,0,0,1,11,0,0,1,0,0,0,0,5,12,0,2,0,6,11,1,8,5,4,2,0,0,0,3,2,1,0,0,3,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,9,4,0,0,0,1,1,10,5,1
33,Christlichdemokratische Volkspartei der Schweiz (CVP),Ruth Humbel,1,9,6,4,0,1,4,10,8,18,1,1,0,102,0,2,0,1,0,0,0,0,15,0,1,2,6,0,0,1,0,0,16,2,2,13,2,9,3,0,4,0,2,1,0,7,1,11,7,0,0,1,1,9,9,0,1,1,6,1,0,0,0,22,0,1,0,3,1,0,0,0,2,0,7,0,0,0,0,34,2,0,1,1,1,0,0,0,0,0,0,2,0,2,2,8,5,3,24,5,1,0,0,1,0,0,0,0,0,0,4,0,0,0,4,29,3,0,0,0,1,3,0,13,3,2,7,0,0,10,0,10,0,32,0,0,0,0,0,17,6,0,2,0,0,0,1,5,8,0,1,0,23,28,2,7,4,2,0,9,2,0,3,11,5,0,0,12,0,0,0,0,2,0,0,4,3,0,61,26,2,0,5,0,0,0,0,0,1,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,89,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,14,0,0,1,6,7,5,0,6
34,Christlichdemokratische Volkspartei der Schweiz (CVP),Sep Cathomas,1,2,1,1,5,2,1,4,18,30,0,0,3,24,0,0,0,0,0,0,1,0,1,0,4,4,9,0,0,0,0,0,0,0,2,3,4,11,3,0,0,0,0,0,0,0,1,8,2,0,0,0,0,1,0,7,0,0,0,0,0,0,0,3,0,0,0,7,0,42,3,0,0,0,0,0,0,0,6,0,0,0,7,1,0,0,0,0,1,0,0,0,0,6,0,1,1,3,13,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,12,2,2,0,0,0,3,0,2,1,4,1,0,0,0,0,10,0,1,0,0,0,1,1,1,10,0,2,0,17,30,0,6,5,1,0,0,0,1,4,2,3,0,0,0,0,0,0,0,0,0,0,2,3,3,12,0,0,1,7,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,1,0,2,0,0,0,1,10,3,1,0
35,Christlichdemokratische Volkspartei der Schweiz (CVP),Theo Maissen,0,14,21,3,0,9,0,7,10,13,12,0,1,96,0,3,2,0,0,0,2,1,1,0,0,10,5,0,0,18,0,0,0,6,5,0,18,37,5,0,5,8,7,0,0,2,0,0,10,2,0,2,4,16,24,0,10,0,0,0,0,0,0,15,1,7,3,15,0,0,31,0,0,0,0,2,0,0,0,25,2,0,12,3,9,5,13,2,0,0,0,0,0,59,6,40,26,4,21,4,4,6,12,32,3,2,1,0,0,0,3,0,0,0,1,14,1,0,0,2,3,1,0,13,11,9,5,12,5,9,1,7,0,2,2,2,0,0,1,18,1,7,1,0,0,3,13,14,27,0,5,0,33,165,5,5,3,0,0,14,13,11,11,5,0,0,0,4,0,0,13,15,2,0,0,8,3,18,23,0,1,27,16,0,0,2,0,0,0,2,7,2,1,1,0,0,3,21,0,3,8,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13,6,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,2,0,7,2,1,6,4,45,17,6,13
36,Christlichdemokratische Volkspartei der Schweiz (CVP),Thérèse Meyer-Kaelin,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Christlichdemokratische Volkspartei der Schweiz (CVP),Urs Hany,1,0,4,0,0,2,0,0,0,2,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,2,8,0,0,1,0,0,1,0,0,3,3,2,3,0,1,3,0,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,4,0,0,0,0,0,4,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,8,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,4,1,0,3,0,0,0,0,3,0,0,0,0,16,55,0,6,7,3,0,0,0,3,1,1,3,0,0,1,0,0,1,0,0,0,0,1,0,10,0,0,0,0,2,0,0,0,2,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,4,0,0,0
38,Christlichdemokratische Volkspartei der Schweiz (CVP),Urs Schwaller,5,2,28,0,0,21,3,9,8,13,8,2,2,71,0,0,3,3,0,1,2,0,2,0,12,1,12,1,19,11,1,1,0,1,0,0,8,9,7,0,2,0,2,2,0,0,0,1,13,0,0,10,3,7,2,1,0,3,0,0,4,0,0,19,0,0,15,13,1,0,5,0,3,0,2,1,0,1,0,12,6,0,10,0,8,0,7,1,0,0,0,5,0,8,18,21,9,9,10,1,0,6,5,15,3,1,0,0,0,0,0,0,0,0,2,7,2,0,0,3,1,0,2,8,12,4,0,3,7,12,2,5,1,5,0,0,1,0,22,46,12,6,15,0,0,10,0,6,23,0,0,0,74,207,2,3,3,0,0,1,0,2,7,28,0,0,0,5,0,0,4,0,0,0,17,2,0,0,20,1,0,0,14,2,1,0,0,0,0,1,13,1,0,0,1,1,0,0,0,12,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,12,0,0,0,0,0,0,0,0,1,1,8,0,0,0,2,0,0,10,1,2,24,6,17,16,10,2
39,Christlichdemokratische Volkspartei der Schweiz (CVP),Viola Amherd,0,3,1,4,0,4,1,1,1,4,0,0,0,25,0,2,1,1,0,0,1,0,2,0,0,0,5,0,0,0,0,0,0,3,1,9,0,4,1,0,0,1,1,2,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,6,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,7,1,3,4,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,5,1,1,0,0,0,3,0,0,6,3,2,1,0,0,0,2,0,0,0,6,0,1,2,2,12,0,7,0,15,15,0,3,2,7,0,0,0,0,2,1,10,0,0,1,0,0,1,1,0,0,0,0,1,2,16,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,18,0,1,2,5,1,0,0,0
40,FDP.Die Liberalen (FDP-Liberale),Annemarie Huber-Hotz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
41,FDP.Die Liberalen (FDP-Liberale),Christa Markwalder,0,1,5,0,5,1,3,2,6,12,0,1,3,23,0,5,0,0,0,0,1,0,2,0,0,5,13,2,1,0,0,1,4,8,7,6,2,4,3,0,3,0,1,3,0,7,0,0,2,0,0,1,0,2,2,0,4,1,3,4,6,0,0,8,0,0,2,3,0,0,2,2,1,12,6,1,23,1,0,11,3,0,3,0,5,0,0,0,0,0,0,0,0,1,1,5,0,11,5,0,1,0,0,0,0,2,0,1,0,0,0,0,0,9,7,7,3,4,0,1,1,0,0,1,3,2,1,0,0,4,0,8,42,8,0,5,1,0,0,7,1,0,1,4,0,1,3,13,40,0,2,0,4,37,1,3,4,1,1,2,0,0,1,2,0,2,10,4,0,0,6,0,0,2,0,1,3,0,27,0,0,0,5,0,0,0,12,9,1,1,2,0,0,0,0,0,10,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,25,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,2,16,0,0,1,2,5,3,1,0
42,FDP.Die Liberalen (FDP-Liberale),Christian Wasserfallen,0,7,2,0,0,0,0,1,9,23,0,1,7,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,2,3,7,0,0,8,0,1,0,1,2,0,0,3,0,4,1,0,2,8,0,4,0,1,0,0,0,0,0,0,4,0,6,0,29,6,0,2,2,0,0,42,0,1,3,12,0,3,2,10,0,0,0,7,0,0,0,0,53,2,41,2,5,1,3,1,0,0,7,0,11,0,0,0,0,4,0,0,0,2,3,0,0,0,2,2,0,0,10,0,4,9,0,0,3,0,0,0,0,0,0,2,0,0,2,1,0,2,0,0,0,0,14,6,0,2,0,7,12,0,10,10,1,4,1,2,2,0,1,0,1,2,0,0,0,0,0,2,0,0,3,0,3,16,1,0,0,6,0,13,1,0,0,2,1,0,5,0,0,0,0,0,0,0,0,8,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,0,0,6,0,0,5,4,15,5,2,0
43,FDP.Die Liberalen (FDP-Liberale),Christine Egerszegi-Obrist,0,0,4,2,0,5,0,3,4,9,2,2,2,14,0,3,1,1,0,1,0,0,0,0,5,0,0,0,8,1,0,0,1,1,7,16,1,3,1,0,2,0,0,0,1,7,0,0,1,0,0,0,0,1,0,0,21,0,0,1,1,0,0,5,0,6,0,0,0,1,1,0,0,0,0,7,0,0,0,13,1,0,2,0,0,1,7,1,0,0,0,0,0,21,2,4,0,3,6,0,0,7,0,3,0,0,0,0,0,0,1,0,0,0,1,7,2,0,0,1,2,0,0,7,2,3,0,1,0,3,0,6,0,2,1,0,3,0,0,6,1,0,0,0,0,9,0,9,12,0,2,0,16,11,0,1,5,0,0,0,2,2,5,3,0,0,0,3,0,0,0,1,0,0,2,3,0,1,12,9,1,0,2,0,0,1,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,0,0,0,1,3,4,1,0
44,FDP.Die Liberalen (FDP-Liberale),Corina Eichenberger-Walther,0,3,0,0,0,1,0,0,2,16,0,0,0,17,0,1,1,0,0,0,2,0,2,0,8,1,0,0,0,1,0,0,0,7,2,5,1,2,3,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,1,0,0,0,38,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,5,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3,1,0,0,0,1,0,2,0,2,0,0,4,0,0,11,0,0,0,0,0,0,1,7,11,0,3,0,9,14,0,9,8,14,2,0,0,0,0,2,0,2,12,1,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,10,0,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,6,0,0,0,0,4,2,1,0
45,FDP.Die Liberalen (FDP-Liberale),Didier Burkhalter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,FDP.Die Liberalen (FDP-Liberale),Doris Fiala,0,0,0,0,0,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,2,1,0,0,0,0,0,11,0,2,2,4,0,4,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,1,0,3,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,3,1,0,0,1,0,1,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,2,0,0,0,0,21,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,4,0,0,0
47,FDP.Die Liberalen (FDP-Liberale),Edi Engelberger,0,3,6,0,0,2,0,3,9,28,2,2,1,26,0,31,0,1,0,0,0,0,5,0,5,0,1,0,1,0,0,1,0,1,3,9,2,5,2,0,2,0,2,2,0,6,0,0,1,0,1,0,1,1,2,0,5,0,0,0,3,0,0,0,1,0,0,4,0,1,5,0,0,1,1,0,22,0,0,24,2,0,3,0,3,0,0,0,0,0,0,0,0,20,0,4,0,4,5,0,0,1,0,10,0,0,2,0,0,0,3,0,0,0,5,17,0,0,0,2,1,0,0,2,6,7,1,0,0,6,0,2,2,9,1,0,1,0,0,0,2,0,0,1,0,0,1,3,29,0,19,0,10,9,2,15,13,4,0,1,0,2,2,0,0,0,20,5,0,0,0,0,0,0,0,1,1,0,48,0,0,0,2,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,10,11,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,4,6,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,2,6,1,0,1
48,FDP.Die Liberalen (FDP-Liberale),Erika Forster-Vannini,79,9,10,3,6,48,6,18,16,13,52,6,7,46,0,2,60,39,24,49,36,27,33,33,8,4,16,84,14,17,2,9,0,4,3,1,5,8,148,41,4,7,11,4,0,7,0,0,10,0,2,1,10,26,7,0,7,3,1,0,2,33,52,14,2,1,2,9,53,15,10,1,2,0,2,1,0,0,5,29,4,0,11,7,22,6,18,0,11,0,0,5,0,2,33,22,2,5,9,5,4,12,6,47,4,19,0,0,4,2,9,7,1,1,11,22,1,0,28,1,1,0,28,7,5,3,3,4,6,97,54,1,2,8,0,4,4,0,1,6,10,2,1,0,33,6,5,0,35,0,9,1,18,21,5,6,1,1,0,7,1,53,42,4,0,0,0,2,0,0,5,9,1,0,6,3,1,0,18,3,0,0,14,0,2,1,16,0,0,2,1,0,0,3,45,88,1,0,2,3,0,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,6,35,0,0,0,0,0,0,0,0,2,2,5,1,1,0,4,0,5,11,3,7,0,6,8,5,5,0
49,FDP.Die Liberalen (FDP-Liberale),Fabio Abate,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,2,0,0,0,0,3,5,0,2,1,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0
