,Phrase,Counts
68,"('sinn', 'bitt')",465
69,"('kommission', 'folg')",464
70,"('bitt', 'nam')",463
71,"('europa', 'union')",463
72,"('geht', 'frag')",460
73,"('heut', 'morg')",458
74,"('unternehmenssteuerreform', 'iii')",450
75,"('beid', 'rat')",449
76,"('frag', 'stell')",447
77,"('macht', 'sinn')",446
78,"('zwanzig', 'jahr')",441
79,"('zwei', 'drei')",439
80,"('deshalb', 'bitt')",436
81,"('international', 'zusammenarbeit')",436
82,"('art', 'weis')",434
83,"('uns', 'kommission')",434
84,"('bitt', 'motion')",433
85,"('wurd', 'kommission')",432
86,"('offent', 'hand')",422
87,"('frau', 'kollegin')",417
88,"('letzt', 'woch')",417
89,"('antrag', 'kommissionsmehr')",415
90,"('darauf', 'hinweis')",408
91,"('direkt', 'bundessteu')",403
92,"('antrag', 'kommission')",403
93,"('erst', 'lini')",403
94,"('eidgenoss', 'finanzkontroll')",402
95,"('automat', 'informationsaustausch')",401
96,"('indirekt', 'gegenvorschlag')",399
97,"('stellt', 'frag')",394
98,"('mind', 'folg')",388
99,"('schon', 'heut')",387
100,"('dafur', 'sorg')",386
101,"('wurd', 'gesagt')",383
102,"('antrag', 'bundesrat')",377
103,"('rund', 'milliard')",375
104,"('st', 'gall')",374
105,"('schon', 'lang')",373
106,"('beim', 'bund')",372
107,"('beschluss', 'standerat')",372
108,"('schon', 'gesagt')",370
109,"('kenntnis', 'genomm')",364
110,"('vergang', 'jahr')",364
111,"('d', 'h')",364
112,"('etwa', 'prozent')",363
113,"('aeschi', 'thomas')",361
114,"('sag', 'ja')",354
115,"('zweit', 'saul')",353
116,"('erneuerbar', 'energi')",352
117,"('stellungnahm', 'bundesrat')",352
118,"('ganz', 'kurz')",351
119,"('einfach', 'sag')",348
120,"('ja', 'schon')",347
121,"('grun', 'fraktion')",345
122,"('geht', 'ja')",345
123,"('konsumentinn', 'konsument')",343
124,"('standerat', 'folg')",342
125,"('ganz', 'einfach')",342
126,"('beantragt', 'stimm')",339
127,"('bundesrat', 'beauftragt')",338
128,"('mocht', 'bitt')",337
129,"('genau', 'gleich')",334
130,"('best', 'dank')",333
131,"('mehr', 'wenig')",332
132,"('ablehn', 'motion')",330
133,"('beschluss', 'nationalrat')",330
134,"('absatz', 'artikel')",329
135,"('worum', 'geht')",328
136,"('gross', 'teil')",327
137,"('bundesrat', 'parlament')",327
138,"('volkerrecht', 'vertrag')",326
139,"('vorlag', 'bundesrat')",323
140,"('mind', 'kommission')",323
141,"('de', 'la')",323
142,"('bundesrat', 'bereit')",322
143,"('mocht', 'einfach')",321
144,"('davon', 'ausgeh')",321
145,"('direkt', 'demokrati')",320
146,"('grund', 'weshalb')",318
147,"('wurd', 'bereit')",317
148,"('schluss', 'gekomm')",315
149,"('schweiz', 'unternehm')",315
150,"('ganz', 'wichtig')",309
151,"('bitt', 'vorlag')",306
152,"('vorhin', 'gesagt')",305
153,"('kanton', 'zurich')",305
154,"('neu', 'gesetz')",305
155,"('vorberat', 'kommission')",305
156,"('bundesrat', 'vorgeschlag')",304
157,"('daran', 'erinn')",304
158,"('schweizerinn', 'schweiz')",303
159,"('folg', 'gegeb')",302
160,"('bereit', 'erwahnt')",302
161,"('ablehn', 'empfehl')",301
162,"('kolleginn', 'kolleg')",298
163,"('infrag', 'gestellt')",297
164,"('verfug', 'stell')",297
165,"('gibt', 'ja')",294
166,"('bundesrat', 'meinung')",291
167,"('kommission', 'wurd')",291
168,"('buchstab', 'b')",291
169,"('bildung', 'forschung')",291
170,"('handlungsbedarf', 'besteht')",289
171,"('bundesrat', 'botschaft')",289
172,"('administrativ', 'aufwand')",289
173,"('lang', 'zeit')",289
174,"('erst', 'mal')",286
175,"('bericht', 'bundesrat')",285
176,"('gleich', 'lang')",285
177,"('vorlieg', 'motion')",285
178,"('frank', 'mehr')",284
179,"('bundesamt', 'justiz')",282
180,"('jahr', 'jahr')",282
181,"('buchstab', 'a')",282
182,"('bilateral', 'vertrag')",281
183,"('rechnung', 'trag')",280
184,"('nationalrat', 'folg')",279
185,"('gesagt', 'wurd')",279
186,"('bundesrat', 'motion')",277
187,"('flankier', 'massnahm')",277
188,"('lang', 'spiess')",277
189,"('geschatzt', 'kolleg')",276
190,"('mind', 'unterstutz')",276
191,"('ja', 'imm')",276
192,"('kenntnis', 'nehm')",275
193,"('kanton', 'bern')",274
194,"('grund', 'dafur')",273
195,"('bundesrat', 'standerat')",272
196,"('bitt', 'minderheitsantrag')",271
197,"('rechnung', 'getrag')",271
198,"('schweiz', 'wirtschaft')",269
199,"('zinsbereinigt', 'gewinnsteu')",268
200,"('frau', 'nationalratin')",266
201,"('mehr', 'geld')",266
202,"('ernst', 'nehm')",266
203,"('betroff', 'person')",266
204,"('bundesrat', 'maur')",265
205,"('bitt', 'dah')",263
206,"('beantragt', 'kommission')",261
207,"('motion', 'bundesrat')",260
208,"('bundesrat', 'ja')",259
209,"('nam', 'kommission')",259
210,"('unterstutz', 'mind')",258
211,"('jahr', 'wurd')",257
212,"('ja', 'bereit')",256
213,"('etwa', 'million')",254
214,"('botschaft', 'bundesrat')",252
215,"('mehr', 'moglich')",250
216,"('gross', 'mehrheit')",250
217,"('artikel', 'geht')",248
218,"('kurz', 'zeit')",246
219,"('stellung', 'nehm')",245
220,"('sinn', 'macht')",244
221,"('staatspolit', 'kommission')",243
222,"('bundesrat', 'entwurf')",243
223,"('bundesrat', 'vorlag')",242
224,"('interess', 'daran')",242
225,"('bereit', 'gesagt')",242
226,"('bundesrat', 'bericht')",241
227,"('motion', 'verlangt')",241
228,"('status', 'quo')",241
229,"('stimm', 'abgelehnt')",241
230,"('sicht', 'bundesrat')",239
231,"('vorlag', 'eintret')",239
232,"('gemass', 'bundesrat')",239
233,"('sicherheitspolit', 'kommission')",238
234,"('losung', 'gefund')",238
235,"('eidgenoss', 'steuerverwalt')",238
236,"('jurist', 'person')",237
237,"('richtig', 'richtung')",237
238,"('frag', 'gestellt')",236
239,"('frau', 'mann')",236
240,"('gibt', 'viel')",234
241,"('hoh', 'kost')",234
242,"('erinn', 'daran')",232
243,"('gebund', 'ausgab')",231
244,"('wurd', 'schon')",231
245,"('volk', 'stand')",231
246,"('wichtig', 'punkt')",230
247,"('kommissionsmehr', 'folg')",230
248,"('absatz', 'geht')",229
249,"('neu', 'artikel')",228
250,"('end', 'jahr')",228
251,"('dank', 'frag')",227
252,"('lehn', 'ab')",227
253,"('verfug', 'steh')",227
254,"('buchstab', 'c')",225
255,"('europa', 'gerichtshof')",225
256,"('offent', 'interess')",224
257,"('antwort', 'bundesrat')",224
258,"('beantragt', 'bundesrat')",224
259,"('kind', 'jugend')",223
260,"('natur', 'person')",223
261,"('gesagt', 'sei')",223
262,"('kommission', 'nationalrat')",222
263,"('klar', 'meinung')",222
264,"('ausserhalb', 'bauzon')",222
265,"('mann', 'frau')",221
266,"('ganz', 'schweiz')",221
267,"('schon', 'sag')",220
268,"('letzt', 'mal')",220
269,"('forschung', 'innovation')",220
270,"('kommission', 'einstimm')",219
271,"('kommission', 'antrag')",219
272,"('ziel', 'erreich')",219
273,"('gross', 'bedeut')",219
274,"('ja', 'nein')",218
275,"('beitrag', 'leist')",217
276,"('entsprech', 'antrag')",217
277,"('beim', 'eintret')",216
278,"('mocht', 'bundesrat')",216
279,"('uns', 'fraktion')",215
280,"('leutenegg', 'oberholz')",215
281,"('kommission', 'meinung')",214
282,"('jahr', 'prozent')",213
283,"('amtlich', 'bulletin')",212
284,"('darauf', 'aufmerksam')",212
285,"('funfzehn', 'jahr')",212
286,"('geschatzt', 'herr')",211
287,"('ja', 'eigent')",211
288,"('mensch', 'land')",210
289,"('erst', 'schritt')",209
290,"('hauslich', 'gewalt')",209
291,"('grund', 'warum')",209
292,"('schweiz', 'bevolker')",209
293,"('vorlauf', 'aufnahm')",209
294,"('unabhang', 'davon')",208
295,"('frank', 'jahr')",208
296,"('herr', 'bundesprasident')",207
297,"('darub', 'hinaus')",207
298,"('mindest', 'prozent')",206
299,"('auftrag', 'gegeb')",206
300,"('frau', 'bundesprasidentin')",206
301,"('kanton', 'bund')",205
302,"('imm', 'gesagt')",205
303,"('minderheitsantrag', 'abzulehn')",204
304,"('motion', 'annehm')",203
305,"('viel', 'dank')",203
306,"('gar', 'mehr')",202
307,"('wiss', 'ja')",202
308,"('ja', 'sag')",201
309,"('absatz', 'bundesverfass')",201
310,"('finanziell', 'mittel')",200
311,"('bundesrat', 'stellungnahm')",200
312,"('international', 'standard')",200
313,"('rechtlich', 'grundlag')",199
314,"('seit', 'fahn')",199
315,"('prozent', 'prozent')",198
316,"('richtig', 'gesagt')",198
317,"('vorschlag', 'bundesrat')",198
318,"('verfug', 'gestellt')",198
319,"('mocht', 'darauf')",198
320,"('umso', 'mehr')",197
321,"('gemeind', 'kanton')",197
322,"('artikel', 'stgb')",197
323,"('wurd', 'stimm')",197
324,"('grunliberal', 'fraktion')",197
325,"('rentnerinn', 'rentn')",197
326,"('kanton', 'kanton')",197
327,"('mehrheit', 'unterstutz')",195
328,"('ganz', 'sich')",195
329,"('je', 'nachd')",194
330,"('deshalb', 'bundesrat')",193
331,"('unterstutz', 'antrag')",191
332,"('muss', 'einfach')",191
333,"('eben', 'gerad')",190
334,"('seit', 'lang')",190
335,"('schlicht', 'einfach')",190
336,"('initiativ', 'ablehn')",190
337,"('moglich', 'war')",189
338,"('jahr', 'lang')",189
339,"('zwei', 'drittel')",189
340,"('massnahm', 'ergreif')",189
341,"('dank', 'unterstutz')",188
342,"('patientinn', 'patient')",188
343,"('gut', 'daran')",188
344,"('hoh', 'berufsbild')",188
345,"('buchstab', 'd')",188
346,"('kommend', 'jahr')",187
347,"('kanton', 'tessin')",187
348,"('mind', 'aeschi')",186
349,"('infrag', 'stell')",186
350,"('sech', 'jahr')",186
351,"('international', 'vergleich')",185
352,"('gesagt', 'word')",185
353,"('mehrheit', 'finanzkommission')",185
354,"('minderheitsantrag', 'artikel')",184
355,"('differenz', 'standerat')",184
356,"('standesinitiativ', 'folg')",184
357,"('jahr', 'mehr')",184
358,"('kommission', 'bundesrat')",183
359,"('umsetz', 'masseneinwanderungsinitiativ')",183
360,"('jahr', 'alt')",182
361,"('gemass', 'antrag')",182
362,"('schweiz', 'international')",182
363,"('ganz', 'genau')",182
364,"('diskussion', 'kommission')",181
365,"('anlieg', 'motion')",181
366,"('gibt', 'heut')",181
367,"('bundesamt', 'statist')",181
368,"('halt', 'fest')",181
369,"('mehrheit', 'uns')",180
370,"('kraft', 'getret')",179
371,"('nationalrat', 'kommission')",178
372,"('zustand', 'kommission')",178
373,"('fassung', 'bundesrat')",178
374,"('schweiz', 'eu')",178
375,"('nam', 'mind')",177
376,"('mocht', 'kurz')",177
377,"('gemacht', 'wurd')",177
378,"('enthalt', 'angenomm')",177
379,"('geht', 'geht')",177
380,"('zweit', 'punkt')",177
381,"('gross', 'herausforder')",176
382,"('jahr', 'million')",176
383,"('jahr', 'spat')",175
384,"('viel', 'mensch')",175
385,"('heut', 'bereit')",175
386,"('mehr', 'jahr')",175
387,"('mehr', 'transparenz')",174
388,"('letzt', 'zehn')",174
389,"('heut', 'geltend')",174
390,"('heut', 'mehr')",173
391,"('nam', 'cvpfraktion')",173
392,"('bundesrat', 'sagt')",173
393,"('antrag', 'gestellt')",173
394,"('schon', 'seit')",173
395,"('wichtig', 'anlieg')",173
396,"('beim', 'bundesrat')",172
397,"('erinner', 'ruf')",172
398,"('postulat', 'anzunehm')",172
399,"('diskussion', 'fuhr')",172
400,"('komm', 'schluss')",172
401,"('interess', 'schweiz')",171
402,"('wichtig', 'frag')",170
403,"('moglich', 'geb')",170
404,"('nachhalt', 'entwickl')",170
405,"('kommission', 'vorlag')",170
406,"('kraft', 'tret')",169
407,"('dreissig', 'jahr')",169
408,"('bundesrat', 'beauftrag')",169
409,"('international', 'organisation')",169
410,"('antrag', 'wurd')",169
411,"('sag', 'sei')",169
412,"('prozent', 'mehr')",168
413,"('mind', 'iii')",168
414,"('beim', 'bundesamt')",168
415,"('frag', 'herr')",168
416,"('weiterentwickl', 'arme')",168
417,"('stellt', 'fest')",167
418,"('paar', 'jahr')",167
419,"('kommission', 'rat')",167
420,"('kommission', 'empfiehlt')",167
421,"('eidgenoss', 'zollverwalt')",167
422,"('artikel', 'artikel')",165
423,"('wurd', 'ja')",165
424,"('schon', 'gar')",165
425,"('fond', 'de')",165
426,"('davon', 'uberzeugt')",164
427,"('nein', 'sag')",164
428,"('darub', 'diskuti')",164
429,"('bitt', 'bundesrat')",164
430,"('beruf', 'vorsorg')",164
431,"('de', 'roulement')",164
432,"('bundesrat', 'schlagt')",163
433,"('enthalt', 'abgelehnt')",163
434,"('kommission', 'mocht')",163
435,"('sech', 'monat')",163
436,"('absatz', 'litera')",162
437,"('bitt', 'ebenfall')",162
438,"('bundesratin', 'sommaruga')",162
439,"('beid', 'motion')",162
440,"('grund', 'bitt')",162
441,"('beid', 'minderheitsantrag')",162
442,"('folgend', 'grund')",161
443,"('dank', 'bundesrat')",161
444,"('mehrheit', 'mind')",161
445,"('nationalrat', 'standerat')",161
446,"('auslanderinn', 'ausland')",160
447,"('gibt', 'grund')",160
448,"('drei', 'punkt')",160
449,"('gibt', 'zwei')",160
450,"('fakultativ', 'referendum')",159
451,"('frag', 'beantwort')",159
452,"('aussicht', 'gestellt')",159
453,"('kommission', 'standerat')",159
454,"('bundesrat', 'mehrheit')",159
455,"('schutz', 'privatsphar')",159
456,"('jung', 'mensch')",158
457,"('mehr', 'prozent')",158
458,"('staatssekretariat', 'migration')",158
459,"('kraft', 'gesetzt')",158
460,"('humanitar', 'hilf')",158
461,"('geht', 'dabei')",158
462,"('erst', 'blick')",157
463,"('darum', 'bitt')",157
464,"('angenomm', 'wurd')",157
465,"('initiativ', 'verlangt')",157
466,"('eigent', 'schon')",156
467,"('per', 'se')",156
468,"('initiativ', 'gegenvorschlag')",156
469,"('kauf', 'nehm')",155
470,"('offent', 'beschaffungswes')",155
471,"('gut', 'losung')",155
472,"('neu', 'regel')",154
473,"('letzt', 'punkt')",154
474,"('bundesrat', 'bleib')",154
475,"('geschatzt', 'kollegin')",154
476,"('zwei', 'punkt')",154
477,"('umfang', 'million')",154
478,"('cvpfraktion', 'unterstutzt')",153
479,"('mind', 'artikel')",153
480,"('war', 'ja')",153
481,"('conseil', 'fédéral')",153
482,"('komm', 'artikel')",153
483,"('gesetz', 'regel')",152
484,"('standerat', 'kommission')",152
485,"('viel', 'fall')",152
486,"('frank', 'million')",152
487,"('annahm', 'empfehl')",152
488,"('etwa', 'milliard')",151
489,"('bundesrat', 'kommission')",151
490,"('kanton', 'genf')",151
491,"('annahm', 'initiativ')",151
492,"('betrag', 'million')",151
493,"('eingetrag', 'partnerschaft')",151
494,"('antrag', 'einigungskonferenz')",151
495,"('bundesrat', 'verwalt')",150
496,"('uns', 'meinung')",150
497,"('ja', 'gesagt')",150
498,"('rund', 'tisch')",150
499,"('mehrheit', 'kanton')",150
500,"('international', 'recht')",150
501,"('gesagt', 'bundesrat')",149
502,"('schon', 'frag')",149
503,"('global', 'forum')",149
504,"('mind', 'beantragt')",148
505,"('kaum', 'mehr')",148
506,"('anerkannt', 'fluchtling')",148
507,"('angenomm', 'motion')",148
508,"('geehrt', 'herr')",148
509,"('klar', 'gesagt')",147
510,"('kommission', 'diskutiert')",147
511,"('fall', 'den')",147
512,"('geht', 'eigent')",147
513,"('imm', 'moglich')",147
514,"('geschatzt', 'frau')",147
515,"('diskutiert', 'wurd')",146
516,"('bundesamt', 'verkehr')",146
517,"('bezahl', 'muss')",146
518,"('kanton', 'graubund')",146
519,"('klar', 'mehrheit')",145
520,"('schweiz', 'komm')",145
521,"('kommission', 'gesagt')",145
522,"('negativ', 'auswirk')",145
523,"('herrn', 'bundesrat')",145
524,"('anschau', 'seh')",145
525,"('kommission', 'wirtschaft')",145
526,"('wichtig', 'roll')",145
527,"('artikel', 'buchstab')",145
528,"('gerichtshof', 'menschenrecht')",145
529,"('stadt', 'gemeind')",144
530,"('motion', 'ablehn')",144
531,"('wirtschaft', 'abgab')",144
532,"('geht', 'einfach')",144
533,"('gibt', 'moglich')",143
534,"('gut', 'grund')",143
535,"('strateg', 'ziel')",143
536,"('neu', 'aufgab')",143
537,"('musst', 'eigent')",143
538,"('absatz', 'mind')",143
539,"('bundesrat', 'schreibt')",143
540,"('gibt', 'imm')",142
541,"('kanton', 'aargau')",142
542,"('europa', 'land')",142
543,"('aussenpolit', 'kommission')",142
544,"('wurd', 'bundesrat')",142
545,"('schweiz', 'recht')",142
546,"('bundesrat', 'vorschlagt')",142
547,"('eintret', 'vorlag')",142
548,"('kundinn', 'kund')",142
549,"('bundesrat', 'frag')",142
550,"('frag', 'warum')",142
551,"('ganz', 'besond')",141
552,"('bundesrat', 'schon')",141
553,"('viel', 'leut')",141
554,"('gesetz', 'schreib')",141
555,"('gut', 'arbeit')",141
556,"('ganz', 'konkret')",141
557,"('recht', 'gesagt')",141
558,"('schweiz', 'landwirtschaft')",141
559,"('ja', 'heut')",141
560,"('acht', 'jahr')",141
561,"('angenomm', 'word')",140
562,"('word', 'war')",140
563,"('unternehm', 'schweiz')",140
564,"('parlament', 'bundesrat')",140
565,"('pro', 'monat')",140
566,"('antwort', 'frag')",140
567,"('uns', 'gesellschaft')",140
568,"('aug', 'behalt')",140
569,"('ziel', 'erreicht')",140
570,"('ab', 'jahr')",140
571,"('kanton', 'wallis')",140
572,"('gemischt', 'ausschuss')",140
573,"('à', 'la')",140
574,"('kanton', 'stadt')",139
575,"('deshalb', 'mind')",139
576,"('folg', 'antrag')",139
577,"('gibt', 'ganz')",139
578,"('nationalrat', 'motion')",138
579,"('ausdruck', 'gebracht')",138
580,"('frank', 'wenig')",138
581,"('beantrag', 'nam')",137
582,"('bundesrat', 'unterstutz')",137
583,"('lieb', 'kolleg')",137
584,"('muss', 'ja')",137
585,"('polit', 'entscheid')",137
586,"('ganz', 'viel')",136
587,"('mocht', 'gern')",136
588,"('imm', 'gleich')",136
589,"('all', 'grund')",136
590,"('war', 'eigent')",136
591,"('rund', 'frank')",136
592,"('hoh', 'million')",136
593,"('mocht', 'nochmal')",136
594,"('gibt', 'kanton')",135
595,"('beid', 'seit')",135
596,"('schwierig', 'situation')",134
597,"('mitarbeiterinn', 'mitarbeit')",134
598,"('jahr', 'imm')",134
599,"('ja', 'gut')",134
600,"('deshalb', 'wichtig')",133
601,"('sag', 'muss')",133
602,"('beantragt', 'einstimm')",133
603,"('bitt', 'postulat')",133
604,"('nam', 'svpfraktion')",133
605,"('drei', 'monat')",133
606,"('entscheid', 'fall')",133
607,"('gut', 'gemeint')",133
608,"('frau', 'fetz')",133
609,"('hand', 'nehm')",132
610,"('richtig', 'verstand')",132
611,"('neu', 'technologi')",132
612,"('empfiehlt', 'stimm')",132
613,"('antrag', 'stell')",132
614,"('kommission', 'frag')",132
615,"('deshalb', 'antrag')",131
616,"('heutig', 'syst')",131
617,"('wurd', 'erwahnt')",131
618,"('finanziell', 'unterstutz')",131
619,"('zweit', 'etapp')",131
620,"('sich', 'schweiz')",131
621,"('mocht', 'sag')",131
622,"('herzlich', 'dank')",130
623,"('verlangt', 'bundesrat')",130
624,"('schweiz', 'wichtig')",130
625,"('gibt', 'verschied')",130
626,"('mehrheit', 'stimm')",130
627,"('standerat', 'bundesrat')",130
628,"('vorlag', 'eingetret')",130
629,"('le', 'conseil')",130
630,"('frag', 'herrn')",129
631,"('herrn', 'standerat')",129
632,"('ehrlich', 'gesagt')",129
633,"('zeich', 'setz')",129
634,"('nam', 'bundesrat')",129
635,"('forschung', 'entwickl')",129
636,"('deshalb', 'motion')",129
637,"('bundesamt', 'gesund')",129
638,"('schweizer', 'nationalbank')",129
639,"('sicht', 'kommission')",128
640,"('motion', 'nationalrat')",128
641,"('weit', 'massnahm')",128
642,"('bundesrat', 'antwort')",128
643,"('eingereicht', 'wurd')",128
644,"('wurd', 'heut')",128
645,"('gleich', 'gilt')",128
646,"('kommission', 'mehrheit')",128
647,"('kommission', 'motion')",128
648,"('insgesamt', 'million')",128
649,"('bundesrat', 'mocht')",127
650,"('roll', 'spiel')",127
651,"('enthalt', 'zugestimmt')",127
652,"('radio', 'fernseh')",127
653,"('kurzung', 'million')",127
654,"('bundesrat', 'antrag')",127
655,"('nationalrat', 'beschloss')",126
656,"('kommissionssprech', 'gesagt')",126
657,"('zustand', 'behord')",126
658,"('unternehmenssteuerreform', 'ii')",126
659,"('meinung', 'bundesrat')",126
660,"('imm', 'wenig')",126
661,"('mind', 'mocht')",126
662,"('viel', 'kanton')",126
663,"('knapp', 'mehrheit')",126
664,"('mocht', 'deshalb')",126
665,"('erst', 'zweit')",126
666,"('letzt', 'zeit')",126
667,"('schweiz', 'schweiz')",126
668,"('moglich', 'gibt')",126
669,"('bundesrat', 'nationalrat')",126
670,"('frank', 'erhoh')",126
671,"('verantwort', 'ubernehm')",125
672,"('auf', 'spiel')",125
673,"('mocht', 'beton')",125
674,"('beim', 'antrag')",125
675,"('wirtschaftsstandort', 'schweiz')",125
676,"('entsprech', 'massnahm')",125
677,"('geht', 'davon')",125
678,"('geht', 'eben')",125
679,"('zustand', 'gekomm')",125
680,"('sag', 'nein')",125
681,"('bundesrat', 'auftrag')",125
682,"('kien', 'nell')",125
683,"('geht', 'weit')",125
684,"('mocht', 'schon')",125
685,"('sozial', 'sich')",124
686,"('obligator', 'krankenpflegeversicher')",124
687,"('rahm', 'berat')",124
688,"('tief', 'einkomm')",124
689,"('wichtig', 'schritt')",124
690,"('differenz', 'nationalrat')",124
691,"('motion', 'ab')",124
692,"('darauf', 'verzichtet')",124
693,"('darauf', 'angewies')",124
694,"('folg', 'artikel')",124
695,"('schweiz', 'ausland')",124
696,"('muss', 'heut')",124
697,"('weit', 'punkt')",124
698,"('eben', 'genau')",124
699,"('dabei', 'geht')",124
700,"('imm', 'gross')",124
701,"('sieb', 'jahr')",123
702,"('wenig', 'geld')",123
703,"('standerat', 'nationalrat')",123
704,"('losung', 'such')",123
705,"('heutig', 'situation')",123
706,"('europa', 'staat')",123
707,"('sag', 'einfach')",123
708,"('sag', 'bundesrat')",122
709,"('mittel', 'verfug')",122
710,"('motion', 'unterstutz')",122
711,"('motion', 'wurd')",122
712,"('erwahnt', 'wurd')",122
713,"('weshalb', 'bundesrat')",122
714,"('natur', 'schon')",122
715,"('erst', 'phas')",122
716,"('jugend', 'sport')",122
717,"('schweiz', 'tourismus')",122
718,"('kommt', 'hinzu')",121
719,"('zweit', 'frag')",121
720,"('off', 'frag')",121
721,"('dank', 'herr')",121
722,"('motion', 'kommission')",121
723,"('muss', 'schon')",121
724,"('beantragt', 'motion')",121
725,"('hinzu', 'kommt')",121
726,"('bundesrat', 'gesagt')",121
727,"('jahr', 'milliard')",121
728,"('darub', 'diskutiert')",120
729,"('erst', 'punkt')",120
730,"('erst', 'rund')",120
731,"('jahr', 'schweiz')",120
732,"('voraussetz', 'dafur')",120
733,"('to', 'fail')",120
734,"('bitt', 'artikel')",120
735,"('ja', 'gerad')",120
736,"('gross', 'probl')",119
737,"('heutig', 'regel')",119
738,"('minderheitsantrag', 'unterstutz')",119
739,"('parlamentar', 'vorstoss')",119
740,"('bereit', 'ausgefuhrt')",119
741,"('schweiz', 'europa')",119
742,"('grosst', 'teil')",119
743,"('zusamm', 'kanton')",119
744,"('frank', 'prozent')",119
745,"('massnahm', 'treff')",119
746,"('glaub', 'wichtig')",118
747,"('parlamentarierinn', 'parlamentari')",118
748,"('stichentscheid', 'prasident')",118
749,"('tun', 'gut')",118
750,"('mocht', 'frag')",118
751,"('frag', 'wer')",118
752,"('bundesrat', 'sieht')",118
753,"('arbeitnehmerinn', 'arbeitnehm')",118
754,"('bern', 'konvention')",118
755,"('genet', 'untersuch')",118
756,"('davon', 'profiti')",117
757,"('richtung', 'geh')",117
758,"('too', 'big')",117
759,"('big', 'to')",117
760,"('jahr', 'rund')",117
761,"('hundert', 'million')",117
762,"('regional', 'personenverkehr')",117
763,"('mocht', 'daran')",117
764,"('kolleg', 'fohn')",117
765,"('neu', 'absatz')",117
766,"('diskussion', 'gefuhrt')",116
767,"('neu', 'bestimm')",116
768,"('bundesrat', 'schneiderammann')",116
769,"('kanton', 'moglich')",116
770,"('neu', 'fuhrungsmodell')",116
771,"('moglich', 'rasch')",116
772,"('ganz', 'welt')",116
773,"('kolleg', 'ried')",116
774,"('bundesamt', 'landwirtschaft')",116
775,"('konferenz', 'kantonal')",115
776,"('jahr', 'bundesrat')",115
777,"('wohl', 'kaum')",115
778,"('berat', 'kommission')",115
779,"('gesetz', 'bestimm')",115
780,"('standerat', 'beschloss')",115
781,"('agrarpolit', 'plus')",115
782,"('vielleicht', 'sogar')",115
783,"('klein', 'mittl')",115
784,"('frank', 'erhoht')",115
785,"('konkret', 'massnahm')",115
786,"('je', 'mehr')",114
787,"('war', 'schon')",114
788,"('treu', 'glaub')",114
789,"('kommissionsmehr', 'unterstutz')",114
790,"('mind', 'zuzustimm')",114
791,"('de', 'court')",114
792,"('pro', 'tag')",114
793,"('ander', 'artikel')",114
794,"('arztinn', 'arzt')",114
795,"('viel', 'jahr')",114
796,"('fraktion', 'unterstutzt')",114
797,"('januar', 'kraft')",114
798,"('gibt', 'mehr')",113
799,"('gerad', 'bereich')",113
800,"('einzig', 'allein')",113
801,"('davon', 'auszugeh')",113
