,Speaker Party,Speaker,"('allgemein', 'volksinitiativ')","('ansicht', 'svpfraktion')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('artikel', 'or')","('aussenpolit', 'kommission')","('autofrei', 'sonntag')","('bilateral', 'abkomm')","('bitt', 'antrag')","('bitt', 'deshalb')","('bitt', 'nam')","('bund', 'kanton')","('bundesamt', 'justiz')","('bundesamt', 'verkehr')","('bundesprasident', 'villig')","('bundesrat', 'villig')","('darauf', 'aufmerksam')","('darum', 'geht')","('de', 'dardel')","('desweg', 'mocht')","('drei', 'jahr')","('einseit', 'massnahm')","('energi', 'schweiz')","('entwurf', 'bundesrat')","('erinner', 'ruf')","('erneuerbar', 'energi')","('erst', 'lini')","('etapp', 'bahn')","('europa', 'union')","('flankier', 'massnahm')","('flughaf', 'zurich')","('frag', 'herrn')","('fried', 'sicherheitspolit')","('ganz', 'schweiz')","('ganz', 'wichtig')","('geht', 'darum')","('geltend', 'recht')","('gemass', 'artikel')","('gesetz', 'grundlag')","('herr', 'bundesprasident')","('herr', 'bundesrat')","('herr', 'kolleg')","('herr', 'schluer')","('herr', 'theil')","('indig', 'volk')","('kanton', 'uri')","('kanton', 'zurich')","('kommission', 'rechtsfrag')","('kommission', 'stimm')","('kommission', 'verkehr')","('konstruktiv', 'referendum')","('mehr', 'benotigt')","('mehr', 'geld')","('mehrheit', 'kommission')","('mehrheit', 'svpfraktion')","('mieterinn', 'miet')","('million', 'frank')","('mind', 'i')","('mind', 'ii')","('mocht', 'daran')","('mocht', 'darauf')","('nach', 'jahr')","('nam', 'kommission')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('neu', 'steu')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('patient', 'patientinn')","('pensionskass', 'bund')","('pro', 'helvetia')","('pro', 'jahr')","('rentn', 'rentnerinn')","('rentnerinn', 'rentn')","('rund', 'milliard')","('russisch', 'foderation')","('schluss', 'gekomm')","('seit', 'jahr')","('servic', 'public')","('spfraktion', 'antrag')","('spfraktion', 'beantrag')","('spfraktion', 'bitt')","('spfraktion', 'ersuch')","('spfraktion', 'lehnt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'mocht')","('st', 'gall')","('standerat', 'folg')","('status', 'quo')","('steu', 'abgab')","('sursis', 'partiel')","('svpfraktion', 'antrag')","('svpfraktion', 'beantragt')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'vorlag')","('uns', 'kommission')","('unt', 'mittl')","('verkehr', 'fernmeldewes')","('vier', 'jahr')","('voll', 'ganz')","('weiterbild', 'schweiz')","('zehn', 'jahr')","('zweit', 'etapp')","('zweit', 'rohr')","('zweit', 'saul')"
41,Schweizerische Volkspartei (SVP),Ulrich Siegrist,0,0,0,2,7,0,0,0,1,4,4,3,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,1,0,0,0,0,2,4,0,0,0,2,12,4,0,0,4,2,0,3,0,1,1,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,0,1,0,2,1,1,2,0,0,3,0,0,1,0,0,0
42,Schweizerische Volkspartei (SVP),Walter Glur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Sozialdemokratische Partei der Schweiz (SP),Alexander Tschäppät,0,0,1,0,3,0,0,0,0,2,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,9,0,0,1,0,0,1,0,0,0,0,5,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0
44,Sozialdemokratische Partei der Schweiz (SP),Andrea Hämmerle,0,0,0,0,6,0,0,0,11,3,5,4,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,1,6,0,1,0,0,1,0,3,2,0,0,0,3,0,0,10,0,0,0,0,0,2,0,0,1,2,0,0,31,5,3,0,2,0,0,5,1,0,10,17,0,0,0,4,0,0,0,0,0,1,8,0,0,1,0,1,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,2,0,0,3,1,5,0
45,Sozialdemokratische Partei der Schweiz (SP),Andreas Gross,41,0,0,1,9,0,1,1,0,1,2,2,0,0,0,0,0,3,3,5,0,1,0,0,0,2,0,1,0,5,0,0,1,4,1,12,7,1,0,4,4,17,0,6,0,0,0,4,0,0,0,15,0,3,11,0,0,1,1,0,3,0,1,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,3,2,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,22,0,0,0
46,Sozialdemokratische Partei der Schweiz (SP),Anita Fetz,0,0,0,1,1,0,0,0,0,0,3,2,3,0,0,0,1,1,8,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,5,4,11,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,25,1,2,2,0,0,0,7,0,0,0,1,0,0,1,4,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,0,0,0
47,Sozialdemokratische Partei der Schweiz (SP),Anita Thanei,0,0,18,0,20,13,0,0,0,4,33,5,0,1,0,0,1,4,1,14,0,5,0,0,3,1,0,2,0,0,0,2,0,0,2,0,4,22,11,3,0,2,1,0,0,0,0,0,29,1,0,0,0,0,38,0,31,3,1,14,6,16,1,5,14,0,0,0,36,0,0,0,5,0,5,0,0,0,2,2,5,0,3,1,1,1,1,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,21,0,0,9,0,0,0
48,Sozialdemokratische Partei der Schweiz (SP),Barbara Haering,0,0,0,23,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,19,0,0,1,0,0,0,1,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,2,0,0,0,4,0,0,0,1,0,0,2,0,0,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0
49,Sozialdemokratische Partei der Schweiz (SP),Barbara Marty Kälin,0,0,0,0,2,0,0,0,0,1,14,0,3,0,0,0,3,0,1,0,0,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,5,0,1,7,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,13,3,5,0,0,2,0,1,0,0,6,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0
50,Sozialdemokratische Partei der Schweiz (SP),Boris Banga,0,0,0,6,6,0,1,0,0,3,1,4,1,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,3,5,8,5,0,0,0,0,5,1,0,0,0,0,4,0,2,8,2,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0
