freq,word
8.1,"(hauslich, gewalt)"
8.1,"(status, quo)"
8,"(bauerinn, bau)"
8,"(region, basel)"
7.9,"(sbb, cargo)"
7.9,"(migrantinn, migrant)"
7.9,"(konsequenz, zieh)"
7.9,"(bildung, forschung)"
7.8,"(sbb, post)"
7.8,"(ausfuhr, herrn)"
7.7,"(konsequenz, antrag)"
7.7,"(offent, unternehm)"
7.6,"(unub, vorgeh)"
7.6,"(di, una)"
7.6,"(leutenegg, filippo)"
7.5,"(ersuch, mind)"
7.5,"(menschlich, korp)"
7.5,"(echt, systemwechsel)"
7.5,"(stiftung, patientensich)"
7.5,"(deutlich, sag)"
7.5,"(anlegerinn, anlegerschutz)"
7.5,"(letzt, woch)"
7.5,"(urs, bernhardsgrutt)"
7.4,"(asymmetr, werbeordn)"
7.4,"(flexibl, altersrucktritt)"
7.4,"(diskussion, kommission)"
7.3,"(de, facto)"
7.3,"(of, conduct)"
7.3,"(altrentnerinn, rentn)"
7.3,"(offent, regionalverkehr)"
7.3,"(anschau, seh)"
7.2,"(arbeitnehm, arbeitnehmerinn)"
7.1,"(mind, mehrheit)"
7.1,"(offent, auftrag)"
7.1,"(mitarbeiterinn, mitarbeit)"
7.1,"(europa, cod)"
7.1,"(investition, bildung)"
7,"(famili, beruf)"
7,"(polizei, zwang)"
7,"(haag, ubereinkomm)"
7,"(akti, sperrfrist)"
7,"(parlamentar, versamml)"
6.9,"(sag, schau)"
6.9,"(euburgerinn, euburg)"
6.9,"(einfuhr, einspracheverfahr)"
6.9,"(sag, post)"
6.8,"(auseinand, gesetzt)"
6.8,"(offent, finanzkontroll)"
6.8,"(revisorinn, revisor)"
6.6,"(auslanderinn, ausland)"
6.6,"(biometr, dat)"
6.6,"(national, interess)"
6.5,"(praventiv, wirkung)"
6.5,"(radio, fernseh)"
6.4,"(pfist, thomas)"
6.4,"(geist, sozialwissenschaft)"
6.4,"(schutz, anlegerinn)"
6.4,"(zusatz, lehrstell)"
6.4,"(leistungsvereinbar, sbb)"
6.4,"(kanton, sag)"
6.4,"(stadt, zurich)"
6.4,"(felix, walk)"
6.4,"(josef, leu)"
6.4,"(vollstand, entschuld)"
6.4,"(opf, zeuginn)"
6.4,"(motion, angenomm)"
6.2,"(entsprech, gesetz)"
6.2,"(la, motion)"
6.2,"(anwend, polizei)"
6.2,"(angenomm, motion)"
6.2,"(kanton, verlass)"
6.1,"(gerichtshof, menschenrecht)"
6.1,"(gesetz, sieht)"
6.1,"(mind, menétreysavary)"
6,"(offentlichrecht, anstell)"
6,"(spar, spar)"
6,"(steuerbefrei, existenzminimum)"
5.9,"(privat, kauf)"
5.9,"(yves, christ)"
5.9,"(lebenslang, verwahr)"
5.9,"(giusep, nay)"
5.9,"(adom, palastinens)"
5.9,"(beschluss, fass)"
5.9,"(privat, lokal)"
5.8,"(fried, menschenrechtsforder)"
5.8,"(gepruft, herr)"
5.8,"(beantragt, wahl)"
5.7,"(jung, generation)"
5.7,"(gultig, erklar)"
5.7,"(gewiss, kanton)"
5.6,"(steh, lass)"
5.6,"(rat, beschloss)"
5.5,"(managed, car)"
5.5,"(tourismus, ford)"
5.5,"(initiativ, pfist)"
5.4,"(vertret, kanton)"
5.3,"(bitt, folg)"
5.3,"(behandl, vorstoss)"
5.3,"(europa, menschenrechtskonvention)"
5.3,"(extern, kost)"
5.3,"(ambulant, bereich)"
5.3,"(mieterinn, mieterverband)"
5.3,"(departement, bildung)"
5.3,"(gend, studi)"
5.3,"(doppelbelast, vorliegt)"
5.3,"(druck, tast)"
5.3,"(tast, send)"
5.3,"(abgab, erhalt)"
5.3,"(virtuell, jugendparlament)"
5.3,"(arztenetz, budgetverantwort)"
5.3,"(ausbau, pist)"
5.3,"(fremd, box)"
5.3,"(phas, hochgeschwindigkeitsanschluss)"
5.3,"(buro, festgestellt)"
5.3,"(erklart, beschluss)"
5.3,"(gewahlt, erklart)"
5.3,"(nationalratsmandat, besteht)"
5.3,"(unvereinbar, nationalratsmandat)"
5.3,"(besteht, buro)"
5.3,"(parlament, parteigrenz)"
5.3,"(verantwort, aktuarin)"
5.3,"(vorsatz, verletz)"
5.3,"(aktuar, verantwort)"
5.3,"(versicherungsnehmerinn, nehm)"
5.3,"(amtsblatt, kanton)"
5.3,"(beschluss, amtsblatt)"
5.3,"(betrag, trassenpreisverbill)"
5.3,"(buro, wahl)"
5.3,"(ersatz, list)"
5.3,"(forum, weiterbild)"
5.3,"(minderheitsantrag, polla)"
5.3,"(laid, humanitair)"
5.3,"(list, nr)"
5.3,"(offent, entwicklungshilf)"
5.2,"(initiativ, unterstutz)"
5.2,"(gesetz, vorgab)"
5.1,"(aug, behalt)"
5.1,"(nochmal, sag)"
5,"(offent, beschaffungswes)"
5,"(festgestellt, herrn)"
5,"(diskussion, stehend)"
5,"(rot, kreuz)"
5,"(kantonal, universitat)"
4.8,"(dual, syst)"
4.8,"(bitt, kommission)"
4.6,"(gefahr, gegenstand)"
4.6,"(besteht, beantragt)"
4.6,"(unangemeldet, besuch)"
4.5,"(bitt, dringend)"
4.5,"(wahl, herrn)"
4.5,"(rahm, budget)"
4.5,"(polit, werbung)"
4.4,"(scheint, wichtig)"
4.4,"(technisch, handelshemmnis)"
4.4,"(empfiehlt, stimm)"
4.4,"(hochpreisinsel, schweiz)"
4.3,"(erwag, zieh)"
4.3,"(rechtlich, grundlag)"
4.2,"(offent, kass)"
4.2,"(antrag, ablehn)"
4.1,"(standort, schweiz)"
4.1,"(offent, spital)"
4,"(frag, gestellt)"
3.9,"(kost, offent)"
3.8,"(polit, wirtschaft)"
3.8,"(schweiz, schweiz)"
3.8,"(grund, ablehn)"
3.7,"(road, pricing)"
3.7,"(geb, herrn)"
3.7,"(eingeschrankt, revision)"
3.6,"(mehrheit, beschloss)"
3.6,"(bundesgesetz, offent)"
3.5,"(einfach, sag)"
3.5,"(rahm, revision)"
3.5,"(kanton, schwyz)"
3.5,"(ans, bundesgericht)"
3.5,"(justiz, polizeidepartement)"
3.4,"(kanton, gemeind)"
3.4,"(kommission, diskutiert)"
