,Speaker Party,Speaker,"('ablehn', 'motion')","('absatz', 'buchstab')","('administrativ', 'aufwand')","('all', 'grund')","('annahm', 'motion')","('antrag', 'kommission')","('antrag', 'mehrheit')","('antrag', 'mind')","('antwort', 'bundesrat')","('arbeitnehmerinn', 'arbeitnehm')","('art', 'weis')","('artikel', 'absatz')","('ausricht', 'antrag')","('beantrag', 'nam')","('bereit', 'erwahnt')","('bericht', 'kommission')","('big', 'to')","('bitt', 'deshalb')","('bitt', 'mehrheit')","('bitt', 'nam')","('bund', 'kanton')","('bundesrat', 'beantragt')","('bundesrat', 'folg')","('bundesrat', 'leuenberg')","('bundesratin', 'widmerschlumpf')","('burg', 'partei')","('burgerinn', 'burg')","('dam', 'herr')","('darauf', 'aufmerksam')","('darauf', 'hingewies')","('darauf', 'hinweis')","('darum', 'bitt')","('deshalb', 'bitt')","('direkt', 'bundessteu')","('direkt', 'demokrati')","('direkt', 'gegenvorschlag')","('drei', 'jahr')","('eidgenoss', 'steuerverwalt')","('einfach', 'sag')","('erneuerbar', 'energi')","('erst', 'lini')","('europa', 'union')","('fdpliberal', 'fraktion')","('flankier', 'massnahm')","('folg', 'geb')","('frag', 'stell')","('fraktion', 'cvpevpglpfraktion')","('frank', 'pro')","('frau', 'bundesprasidentin')","('frau', 'bundesratin')","('frau', 'fetz')","('frau', 'kollegin')","('frau', 'meierschatz')","('ganz', 'klar')","('geh', 'davon')","('geht', 'darum')","('geltend', 'recht')","('gemass', 'artikel')","('herr', 'bundesprasident')","('herr', 'bundesrat')","('herr', 'kolleg')","('herr', 'spuhl')","('hoh', 'vergut')","('indirekt', 'gegenvorschlag')","('initiativ', 'folg')","('interess', 'daran')","('ja', 'nein')","('ja', 'schon')","('jurist', 'person')","('kalt', 'progression')","('kanton', 'gemeind')","('kenntnis', 'genomm')","('kenntnis', 'nehm')","('klar', 'meinung')","('kommission', 'beantragt')","('kommission', 'rechtsfrag')","('kommission', 'stimm')","('konsumentinn', 'konsument')","('lasst', 'ausricht')","('letzt', 'jahr')","('letzt', 'mal')","('letzt', 'woch')","('leutenegg', 'oberholz')","('losung', 'find')","('macht', 'sinn')","('mehrheit', 'folg')","('mehrheit', 'kommission')","('mehrheit', 'svpfraktion')","('mieterinn', 'miet')","('milliard', 'frank')","('million', 'frank')","('mind', 'folg')","('mind', 'i')","('mind', 'ii')","('mocht', 'darauf')","('mocht', 'einfach')","('motion', 'abzulehn')","('motion', 'anzunehm')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nationalrat', 'folg')","('neu', 'unternehmenssteu')","('offent', 'hand')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('patientinn', 'patient')","('polit', 'entscheid')","('pro', 'helvetia')","('pro', 'jahr')","('richterinn', 'richt')","('rund', 'milliard')","('sag', 'ja')","('sbb', 'cargo')","('schriftlich', 'bericht')","('seit', 'fahn')","('sicherheitspolit', 'bericht')","('sicht', 'bundesrat')","('sicht', 'spfraktion')","('sozialdemokratinn', 'sozialdemokrat')","('spfraktion', 'antrag')","('spfraktion', 'beantrag')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'eintret')","('spfraktion', 'klar')","('spfraktion', 'lehnt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'minderheitsantrag')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('st', 'gall')","('staatspolit', 'kommission')","('stell', 'fest')","('stimm', 'enthalt')","('svpfraktion', 'beantrag')","('svpfraktion', 'beantragt')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'eintret')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'unterstutzt')","('to', 'fail')","('too', 'big')","('uns', 'kommission')","('uns', 'meinung')","('unterstutzt', 'antrag')","('unterstutzt', 'spfraktion')","('vorlag', 'einzutret')","('z', 'b')","('zehn', 'jahr')","('zwei', 'drei')"
10,Schweizerische Volkspartei (SVP),Christoph Blocher,0,9,0,0,0,5,1,2,0,0,0,13,0,0,0,1,0,0,2,0,2,1,0,0,0,0,1,0,4,1,0,12,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,5,2,6,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,1,4,0,0,0,1,2,1,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0
11,Schweizerische Volkspartei (SVP),Christoph Mörgeli,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,3,1,1,0,0,0,0,0,1,0,2,0,0,0,0,9,0,0,3,1,0,2,2,8,0,1,6,2,0,8,1,2,1,2,13,0,0,0,2,2,2,1,1,0,3,0,2,0,0,3,0,0,0,5,0,0,1,0,0,0,0,1,0,7,21,0,0,0,0,0,1,2,0,0,0,0,0,1,4,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1
12,Schweizerische Volkspartei (SVP),Christoph von Rotz,0,0,1,1,2,0,1,17,0,0,1,7,0,3,0,0,0,4,1,4,1,0,1,1,0,0,4,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,3,1,4,0,5,0,8,1,4,3,3,1,6,4,0,0,0,1,1,0,0,0,0,0,0,1,3,2,0,0,0,0,1,0,0,0,0,1,5,10,2,0,49,37,0,7,3,0,1,1,2,0,16,0,0,9,31,9,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,7,0,2,1,2,2,0,0,0,0,0,0,7,2,0,0
13,Schweizerische Volkspartei (SVP),Elmar Bigger,0,8,2,2,0,0,3,2,0,0,0,9,0,0,1,0,0,1,2,0,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,2,2,0,0,1,5,0,0,0,1,0,2,3,0,1,4,5,0,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,2,0,1,2,1,0,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,4,0,0
14,Schweizerische Volkspartei (SVP),Erich von Siebenthal,0,0,0,2,0,0,3,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,2,6,0,0,0,9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,2,16,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,0
15,Schweizerische Volkspartei (SVP),Ernst Schibli,0,0,3,3,0,0,1,5,0,0,3,2,0,0,0,0,0,19,0,2,2,0,0,0,0,0,4,2,0,1,0,4,0,0,12,3,0,0,1,1,0,6,0,2,11,0,0,11,5,13,0,1,0,6,0,0,1,1,2,5,6,0,0,2,5,0,0,1,0,0,4,0,0,0,2,0,1,4,0,2,0,0,0,0,0,1,5,1,0,12,13,0,2,0,0,0,4,0,0,3,0,0,0,0,23,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,1,0,0,1,2,1,0,0,0,0,0,0,2,0,0,6,0,0,0
16,Schweizerische Volkspartei (SVP),Felix Müri,0,0,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,2,1,2,1,5,0,0,0,1,3,0,0,0,1,2,0,0,0,1,0,0,0,1,1,1,0,0,0,0,2,0,1,0,0,0,3,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,2,0,0,0,1,1,1,0,0,0,12,0,3,1,0,0,0,0,0,7,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0
17,Schweizerische Volkspartei (SVP),Hannes Germann,4,6,4,2,7,2,3,16,5,1,3,35,0,0,3,2,10,2,2,0,14,4,2,0,9,1,3,1,2,9,2,18,2,13,2,2,3,7,4,3,1,5,2,6,5,1,0,16,3,31,4,1,0,5,3,12,10,5,8,18,7,0,2,38,0,1,3,0,3,0,28,7,3,1,5,2,3,1,0,11,5,2,3,5,6,4,3,0,3,70,167,9,7,7,0,1,5,5,0,0,2,3,7,1,18,0,0,3,18,0,9,4,0,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,7,12,0,0,0,0,0,0,0,0,9,10,3,0,0,0,7,19,9,4
18,Schweizerische Volkspartei (SVP),Hans Fehr,0,0,0,0,0,0,2,2,0,0,0,3,0,0,0,0,0,4,0,4,2,0,0,0,1,1,1,7,0,2,0,6,0,0,8,0,0,0,2,0,0,10,0,2,1,5,0,2,3,20,0,1,0,2,0,5,0,1,6,1,4,0,0,4,1,0,1,0,0,0,5,1,3,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,2,0,6,0,0,0,0,10,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,7,2,0
19,Schweizerische Volkspartei (SVP),Hans Kaufmann,0,0,5,0,2,1,4,25,1,0,0,19,0,0,0,0,7,7,2,3,5,0,0,0,1,0,1,0,1,1,1,1,9,1,0,15,5,0,0,0,3,0,0,1,12,0,0,4,2,5,0,6,0,11,1,6,0,2,1,9,1,0,5,21,12,0,1,6,8,1,3,0,2,0,1,16,4,0,0,11,2,4,20,0,2,1,15,0,1,32,37,0,6,5,1,3,0,4,0,2,0,2,1,0,39,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,1,0,0,0,1,0,0,4,7,7,1,1,0,0,3,7,3,2
20,Schweizerische Volkspartei (SVP),Hans Killer,1,12,0,1,3,1,5,8,1,0,2,38,0,1,0,0,0,0,4,21,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,12,6,0,0,1,9,0,0,9,0,3,0,0,0,1,1,3,1,4,0,0,3,0,0,4,5,1,1,0,0,0,3,3,3,3,1,0,0,0,0,2,0,0,1,0,0,8,4,2,0,8,36,4,1,2,0,1,3,3,0,16,0,0,8,6,26,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,0,6,1,2,0,0,0,5,0,0,4,4,4,0
21,Schweizerische Volkspartei (SVP),Hans Rutschmann,1,0,0,2,1,1,4,14,0,0,6,19,0,2,0,0,0,22,0,9,9,5,1,2,0,0,9,0,0,1,0,2,0,0,0,0,6,0,0,22,2,0,0,9,6,0,0,6,0,3,0,0,0,13,2,8,3,3,0,1,2,0,0,5,6,0,0,1,0,0,6,0,0,2,1,1,0,0,0,2,0,0,3,0,1,1,1,0,1,14,58,0,8,3,0,0,10,4,0,7,0,0,4,4,25,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,8,2,0,2,1,1,0,0,0,0,0,0,0,0,0,17,3,1,3
22,Schweizerische Volkspartei (SVP),Hansjörg Walter,1,1,5,0,1,0,3,3,1,0,2,3,0,0,0,4,0,1,2,1,0,2,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,4,4,0,3,0,0,2,0,6,0,0,0,3,0,2,0,4,0,2,2,0,0,0,2,0,0,0,0,0,0,2,3,0,1,0,1,0,0,1,0,0,1,2,0,1,2,0,0,0,18,0,2,0,0,1,1,1,0,1,0,0,2,0,11,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,2,0
23,Schweizerische Volkspartei (SVP),Hansruedi Wandfluh,1,1,3,0,0,0,3,8,0,0,0,4,0,1,0,0,0,1,0,7,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,4,0,0,0,4,2,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,1,0,0,0,0,0,1,1,1,11,1,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,3,0,1,0,0,1,1,0,0,1,7,0,1
24,Schweizerische Volkspartei (SVP),Hermann Bürgi,9,14,1,0,17,26,4,13,5,1,14,164,0,1,13,4,0,3,1,1,29,11,14,4,7,0,2,2,1,92,28,0,1,1,1,20,7,4,15,0,18,5,0,1,14,5,0,5,6,40,16,16,0,41,6,50,34,43,8,66,22,0,34,43,9,0,11,4,2,0,9,31,32,12,12,74,7,5,0,7,1,6,1,3,11,3,27,0,1,8,54,2,0,4,10,20,13,16,0,0,9,0,9,4,77,0,2,47,4,13,3,0,2,13,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,15,21,0,0,0,0,0,0,0,0,0,0,35,1,0,0,21,0,7,4
25,Schweizerische Volkspartei (SVP),J. Alexander Baumann,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,1,0,0,0,0,1,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
26,Schweizerische Volkspartei (SVP),Jasmin Hutter-Hutter,0,0,0,0,1,0,6,3,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,2,0,0,1,3,0,1,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,5,1,0,9,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1
27,Schweizerische Volkspartei (SVP),Jean Henri Dunant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0
28,Schweizerische Volkspartei (SVP),Josef Kunz,1,0,0,10,0,0,7,22,0,0,1,2,0,11,0,0,0,3,0,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,9,1,0,0,0,2,2,0,1,1,9,0,2,0,5,0,6,0,0,1,4,1,0,0,2,2,1,0,0,0,0,5,0,0,8,1,0,0,0,0,8,0,0,0,0,0,7,3,0,0,11,56,7,8,13,0,0,1,1,0,21,0,0,0,0,4,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,0,0,0,0,2,2,0,0,0,0,0,1,0,2,1,2,0
