,Phrase,Counts
172,"('bitt', 'deshalb', 'antrag', 'mind', 'i')",26
173,"('zwei', 'dritteln', 'kanton', 'drittel', 'bund')",26
174,"('bitt', 'antrag', 'mind', 'leutenegg', 'oberholz')",26
175,"('bitt', 'nam', 'svpfraktion', 'antrag', 'mind')",26
176,"('pro', 'jahr', 'rund', 'million', 'frank')",26
177,"('beschloss', 'parlamentar', 'initiativ', 'folg', 'geb')",26
178,"('kommissionsmehr', 'parlamentar', 'initiativ', 'folg', 'geb')",26
179,"('cvpfraktion', 'teilt', 'antrag', 'mehrheit', 'unterstutz')",26
180,"('antwort', 'bundesrat', 'befriedigt', 'beantragt', 'diskussion')",26
181,"('volksinitiativ', 'eig', 'vier', 'wand', 'dank')",26
182,"('artikel', 'absatz', 'buchstab', 'c', 'artikel')",26
183,"('gruppier', 'al', 'kaida', 'islam', 'staat')",26
184,"('nam', 'kommission', 'bitt', 'vorlag', 'einzutret')",25
185,"('deshalb', 'bitt', 'antrag', 'mind', 'zuzustimm')",25
186,"('abwehr', 'schwerwieg', 'bedroh', 'inn', 'sich')",25
187,"('genf', 'international', 'zentrum', 'humanitar', 'minenraum')",25
188,"('bitt', 'nam', 'svpfraktion', 'mehrheit', 'folg')",25
189,"('absatz', 'buchstab', 'd', 'ziff', 'bundesverfass')",25
190,"('annahm', 'motion', 'bundesrat', 'beantragt', 'ebenfall')",25
191,"('mandat', 'unvereinbar', 'war', 'buro', 'beantragt')",25
192,"('parlamentar', 'initiativ', 'sei', 'folg', 'geb')",24
193,"('bitt', 'antrag', 'mind', 'ii', 'unterstutz')",24
194,"('grund', 'beantragt', 'kommission', 'stimm', 'enthalt')",24
195,"('bitt', 'nam', 'kommissionsmehr', 'vorlag', 'einzutret')",24
196,"('kommission', 'beantragt', 'stimm', 'enthalt', 'vorlag')",24
197,"('bitt', 'deshalb', 'antrag', 'mind', 'ii')",24
198,"('cvpfraktion', 'teilt', 'antrag', 'mehrheit', 'unterstutzt')",24
199,"('kommission', 'beantragt', 'initiativ', 'folg', 'geb')",24
200,"('etwa', 'milliard', 'frank', 'pro', 'jahr')",24
201,"('antrag', 'mind', 'i', 'ii', 'abzulehn')",24
202,"('parlamentar', 'initiativ', 'folg', 'geb', 'mind')",24
203,"('grossenordn', 'million', 'frank', 'pro', 'jahr')",24
204,"('erheb', 'verstorb', 'moment', 'schweig', 'gedenk')",24
205,"('bundesgesetz', 'zustand', 'bereich', 'zivil', 'nachrichtendien')",24
206,"('million', 'frank', 'rund', 'million', 'frank')",24
207,"('forder', 'bildung', 'forschung', 'innovation', 'jahr')",24
208,"('entsprech', 'antrag', 'wurd', 'kommission', 'stimm')",24
209,"('unvereinbar', 'nationalratsmandat', 'besteht', 'buro', 'beantragt')",23
210,"('bitt', 'vorlag', 'einzutret', 'antrag', 'kommission')",23
211,"('forder', 'bildung', 'forschung', 'technologi', 'jahr')",23
212,"('fest', 'absolut', 'mehrheit', 'mitglied', 'standerat')",23
213,"('beantragt', 'stimm', 'enthalt', 'vorlag', 'einzutret')",23
214,"('petition', 'kenntnis', 'nehm', 'folg', 'geb')",23
215,"('million', 'frank', 'pro', 'jahr', 'betrag')",23
216,"('bitt', 'nam', 'spfraktion', 'vorlag', 'einzutret')",23
217,"('schweizer', 'konferenz', 'kantonal', 'gesundheitsdirektorinn', 'direktor')",23
218,"('artikel', 'absatz', 'buchstab', 'b', 'artikel')",23
219,"('svpfraktion', 'teil', 'antrag', 'mehrheit', 'unterstutz')",23
220,"('kommission', 'beantragt', 'stimm', 'motion', 'anzunehm')",23
221,"('kommission', 'entscheid', 'fiel', 'stimm', 'enthalt')",23
222,"('nam', 'fdpliberal', 'fraktion', 'bitt', 'vorlag')",23
223,"('nam', 'fdpliberal', 'fraktion', 'vorlag', 'einzutret')",23
224,"('antrag', 'mind', 'aeschi', 'thomas', 'abzulehn')",23
225,"('verbot', 'gruppier', 'al', 'kaida', 'islam')",23
226,"('unvereinbar', 'war', 'buro', 'beantragt', 'wahl')",23
227,"('antrag', 'mehrheit', 'zuzustimm', 'antrag', 'mind')",22
228,"('bundesrat', 'bereit', 'motion', 'postulat', 'entgegenzunehm')",22
229,"('artikel', 'absatz', 'artikel', 'absatz', 'geht')",22
230,"('heutig', 'sitzung', 'eingelad', 'word', 'tagesordn')",22
231,"('durchschnitt', 'million', 'frank', 'pro', 'jahr')",22
232,"('eidgenoss', 'departement', 'umwelt', 'verkehr', 'energi')",22
