Speaker,0,1,2,3,4,Min,Max
Rudolf Winkler,4.0,,,,,4.0,4.0
Ruedi Aeschbacher,1.0,2.0,3.0,,,1.0,3.0
Ruedi Baumann,1.0,,,,,1.0,1.0
Ruedi Lustenberger,1.0,2.0,3.0,4.0,,1.0,4.0
Ruedi Noser,2.0,3.0,4.0,5.0,,2.0,5.0
Ruth Dreifuss,1.0,,,,,1.0,1.0
Ruth Genner,1.0,2.0,3.0,,,1.0,3.0
Ruth Gonseth,1.0,,,,,1.0,1.0
Ruth Humbel,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Ruth Metzler-Arnold,1.0,2.0,,,,1.0,2.0
Ruth-Gaby Vermot-Mangold,1.0,2.0,,,,1.0,2.0
Samira Marti,5.0,,,,,5.0,5.0
Samuel Schmid,1.0,2.0,3.0,,,1.0,3.0
Sandra Sollberger,5.0,,,,,5.0,5.0
Sebastian Frehner,3.0,4.0,5.0,,,3.0,5.0
Sep Cathomas,2.0,3.0,,,,2.0,3.0
Sibel Arslan,5.0,,,,,5.0,5.0
Silva Semadeni,4.0,5.0,,,,4.0,5.0
Silvia Schenker,2.0,3.0,4.0,5.0,,2.0,5.0
Simon Epiney,2.0,,,,,2.0,2.0
Simon Schenk,1.0,2.0,3.0,,,1.0,3.0
Simonetta Sommaruga,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Stefan Engler,4.0,5.0,,,,4.0,5.0
Stefan Müller-Altermatt,4.0,5.0,,,,4.0,5.0
Stephanie Baumann,1.0,,,,,1.0,1.0
Stéphane Rossini,4.0,,,,,4.0,4.0
Susanne Leutenegger Oberholzer,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Sylvia Flückiger-Bäni,3.0,4.0,5.0,,,3.0,5.0
Tarzisius Caviezel,3.0,,,,,3.0,3.0
Theo Maissen,1.0,2.0,3.0,,,1.0,3.0
Theophil Pfister,1.0,2.0,3.0,,,1.0,3.0
Therese Frösch,2.0,3.0,,,,2.0,3.0
Therese Schläpfer,5.0,,,,,5.0,5.0
Thierry Burkart,5.0,,,,,5.0,5.0
This Jenny,1.0,2.0,3.0,4.0,,1.0,4.0
Thomas Aeschi,4.0,5.0,,,,4.0,5.0
Thomas Ammann,5.0,,,,,5.0,5.0
Thomas Burgherr,5.0,,,,,5.0,5.0
Thomas Böhni,4.0,,,,,4.0,4.0
Thomas Egger,5.0,,,,,5.0,5.0
