Speaker,0,1,2,3,4,Min,Max
Karin Keller-Sutter,4.0,5.0,,,,4.0,5.0
Karl Vogler,4.0,5.0,,,,4.0,5.0
Kaspar Villiger,1.0,2.0,,,,1.0,2.0
Kathrin Bertschy,4.0,5.0,,,,4.0,5.0
Kathy Riklin,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Konrad Graber,3.0,4.0,5.0,,,3.0,5.0
Kurt Fluri,2.0,3.0,4.0,5.0,,2.0,5.0
Kurt Wasserfallen,1.0,2.0,,,,1.0,2.0
Leo Müller,4.0,5.0,,,,4.0,5.0
Lieni Füglistaller,2.0,3.0,,,,2.0,3.0
Lorenz Hess,4.0,5.0,,,,4.0,5.0
Lorenzo Quadri,4.0,5.0,,,,4.0,5.0
Louis Schelbert,2.0,3.0,4.0,5.0,,2.0,5.0
Luc Recordon,2.0,4.0,,,,2.0,4.0
Lucrezia Meier-Schatz,1.0,2.0,3.0,4.0,,1.0,4.0
Lukas Reimann,3.0,4.0,5.0,,,3.0,5.0
Luzi Stamm,1.0,2.0,3.0,4.0,5.0,1.0,5.0
Maja Ingold,3.0,4.0,5.0,,,3.0,5.0
Marc Frédéric Suter,1.0,2.0,,,,1.0,2.0
Marcel Scherer,1.0,2.0,3.0,,,1.0,3.0
Marco Romano,4.0,5.0,,,,4.0,5.0
Margret Kiener Nellen,2.0,3.0,4.0,5.0,,2.0,5.0
Maria Bernasconi,3.0,4.0,,,,3.0,4.0
Marianne Kleiner,2.0,3.0,,,,2.0,3.0
Marianne Slongo,1.0,2.0,,,,1.0,2.0
Marianne Streiff-Feller,3.0,4.0,5.0,,,3.0,5.0
Marina Carobbio Guscetti,2.0,3.0,4.0,5.0,,2.0,5.0
Mario Fehr,1.0,2.0,3.0,,,1.0,3.0
Markus Hausammann,4.0,5.0,,,,4.0,5.0
Markus Hutter,2.0,3.0,4.0,,,2.0,4.0
Markus Ritter,4.0,5.0,,,,4.0,5.0
Markus Stadler,3.0,4.0,,,,3.0,4.0
Markus Zemp,2.0,3.0,,,,2.0,3.0
Martin Bäumle,2.0,3.0,4.0,5.0,,2.0,5.0
Martin Candinas,4.0,5.0,,,,4.0,5.0
