,Phrase,qui
184,"('massnahm', 'deutschland')",1.0264222388481039e-05
185,"('senkung', 'promillegrenz')",1.0264222388481039e-05
186,"('tonn', 'gold')",1.0264222388481039e-05
187,"('umbau', 'poststellennetz')",1.0264222388481039e-05
188,"('aufgab', 'ubernehm')",1.0196595215608948e-05
189,"('grenz', 'halt')",1.0196595215608948e-05
190,"('weiss', 'wovon')",1.0196595215608948e-05
191,"('wovon', 'sprech')",1.0196595215608948e-05
192,"('schritt', 'richtung')",1.0136894984536113e-05
193,"('hoh', 'einkomm')",1.0047618495061756e-05
194,"('bild', 'schweiz')",1.0025903843136624e-05
195,"('global', 'umweltfond')",1.0025903843136624e-05
196,"('schweizer', 'verkehrspolit')",1.0025903843136624e-05
197,"('bildung', 'forschung')",9.985285809498493e-06
198,"('antizykl', 'verhalt')",9.868730042509797e-06
199,"('antrag', 'imhof')",9.868730042509797e-06
200,"('milliard', 'frank')",0.00011615070675452971
201,"('konsumentinn', 'konsument')",8.112040353782907e-05
202,"('patientinn', 'patient')",6.5263444332732e-05
203,"('de', 'la')",6.112730459972679e-05
204,"('bitt', 'mehrheit')",6.108962388600487e-05
205,"('sbb', 'cargo')",5.7809046666849375e-05
206,"('rentnerinn', 'rentn')",5.03175453690379e-05
207,"('anlegerinn', 'anleg')",4.0859305605559335e-05
208,"('mieterinn', 'miet')",3.600098349788264e-05
209,"('richterinn', 'richt')",3.457920970936217e-05
210,"('vorlag', 'einzutret')",3.4572115237758396e-05
211,"('mehrheit', 'zuzustimm')",3.335753994621758e-05
212,"('migrantinn', 'migrant')",3.150836754214792e-05
213,"('arme', 'xxi')",3.146657571355498e-05
214,"('kind', 'jugend')",3.076649063218293e-05
215,"('offent', 'entwicklungshilf')",2.7488888498912957e-05
216,"('motion', 'leuthard')",2.619649662711952e-05
217,"('beschuldigt', 'person')",2.5849394369755405e-05
218,"('obligator', 'referendum')",2.562863621097555e-05
219,"('servic', 'public')",2.352950450826656e-05
220,"('mittl', 'einkomm')",2.3348615047709984e-05
221,"('betreff', 'person')",2.3083435269287385e-05
222,"('elektron', 'medi')",2.3063070004978908e-05
223,"('wirtschaft', 'leistungsfah')",2.280277623739041e-05
224,"('abgekurzt', 'verfahr')",2.2722975992265654e-05
225,"('sag', 'nochmal')",2.2722975992265654e-05
226,"('burg', 'mehrheit')",2.2253627448321312e-05
227,"('schweizerinn', 'schweiz')",2.1931923439327813e-05
228,"('radio', 'fernseh')",2.142129536522061e-05
229,"('steu', 'abgab')",2.1209159906573334e-05
230,"('fassung', 'kommission')",2.0992190572117936e-05
231,"('wahl', 'herrn')",2.0953413746249586e-05
232,"('vorlauf', 'aufgenomm')",2.0945787890952788e-05
233,"('freie', 'spitalwahl')",2.0814177914262245e-05
234,"('pro', 'helvetia')",2.0699375307460026e-05
235,"('schweiz', 'tourismus')",2.0690908604042936e-05
236,"('strateg', 'ziel')",2.0397844391479397e-05
