,Speaker Party,Phrase,Counts,Freq,N,tf_idf
256,Sozialdemokratische Partei der Schweiz (SP),"('bundesrat', 'maur')",92.0,9,15,46.99595738647115
257,Schweizerische Volkspartei (SVP),"('pro', 'jahr')",210.0,12,15,46.86014577598405
259,Sozialdemokratische Partei der Schweiz (SP),"('herrn', 'standerat')",51.0,6,15,46.73082732558191
260,Sozialdemokratische Partei der Schweiz (SP),"('zwingend', 'lebenslang')",29.0,3,15,46.67369946058891
261,Sozialdemokratische Partei der Schweiz (SP),"('wahl', 'herrn')",29.0,3,15,46.67369946058891
262,Sozialdemokratische Partei der Schweiz (SP),"('nach', 'jahr')",115.0,10,15,46.6284874324389
263,Sozialdemokratische Partei der Schweiz (SP),"('servic', 'public')",115.0,10,15,46.6284874324389
265,Sozialdemokratische Partei der Schweiz (SP),"('darauf', 'hingewies')",150.0,11,15,46.523239245575915
266,Sozialdemokratische Partei der Schweiz (SP),"('deshalb', 'bundesrat')",74.0,8,15,46.51704079725568
268,Schweizerische Volkspartei (SVP),"('gut', 'gemeint')",61.0,7,15,46.4905431748607
269,Schweizerische Volkspartei (SVP),"('gebund', 'ausgab')",91.0,9,15,46.48513176270516
272,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'bitt')",23.0,2,15,46.342769472472085
275,Schweizerische Volkspartei (SVP),"('vorab', 'festzuhalt')",17.0,1,15,46.03685341873757
276,Sozialdemokratische Partei der Schweiz (SP),"('lehnt', 'spfraktion')",17.0,1,15,46.03685341873757
277,Sozialdemokratische Partei der Schweiz (SP),"('erklart', 'buro')",17.0,1,15,46.03685341873757
278,Sozialdemokratische Partei der Schweiz (SP),"('ersetzt', 'zuruckgetret')",17.0,1,15,46.03685341873757
281,Sozialdemokratische Partei der Schweiz (SP),"('davon', 'ausgeh')",89.0,9,15,45.463480515173174
282,Sozialdemokratische Partei der Schweiz (SP),"('sag', 'ja')",112.0,10,15,45.41209210811441
283,Schweizerische Volkspartei (SVP),"('international', 'standard')",72.0,8,15,45.25982347841094
284,Sozialdemokratische Partei der Schweiz (SP),"('mind', 'i')",202.0,12,15,45.074997365470374
286,Schweizerische Volkspartei (SVP),"('guterabwag', 'vorzunehm')",28.0,3,15,45.06426154815481
287,Sozialdemokratische Partei der Schweiz (SP),"('herr', 'matt')",28.0,3,15,45.06426154815481
289,Sozialdemokratische Partei der Schweiz (SP),"('rund', 'milliard')",111.0,10,15,45.00662700000625
293,Schweizerische Volkspartei (SVP),"('motion', 'anzunehm')",144.0,11,15,44.66230967575288
295,Schweizerische Volkspartei (SVP),"('leutenegg', 'oberholz')",71.0,8,15,44.63121481898856
297,Sozialdemokratische Partei der Schweiz (SP),"('losung', 'find')",110.0,10,15,44.60116189189808
300,Sozialdemokratische Partei der Schweiz (SP),"('seit', 'jahr')",143.0,11,15,44.35215474744904
301,Sozialdemokratische Partei der Schweiz (SP),"('parlamentar', 'mandat')",22.0,2,15,44.32786645192982
302,Sozialdemokratische Partei der Schweiz (SP),"('unvereinbar', 'war')",22.0,2,15,44.32786645192982
303,Sozialdemokratische Partei der Schweiz (SP),"('gibt', 'viel')",58.0,7,15,44.20412301872001
306,Sozialdemokratische Partei der Schweiz (SP),"('leutenegg', 'oberholz')",70.0,8,15,44.002606159566184
309,Schweizerische Volkspartei (SVP),"('geschatzt', 'herr')",86.0,9,15,43.9310036438752
310,Sozialdemokratische Partei der Schweiz (SP),"('volkerrecht', 'vertrag')",86.0,9,15,43.9310036438752
311,Sozialdemokratische Partei der Schweiz (SP),"('pro', 'jahr')",196.0,12,15,43.736136057585114
312,Schweizerische Volkspartei (SVP),"('geltend', 'recht')",141.0,11,15,43.731844890841366
314,Schweizerische Volkspartei (SVP),"('darauf', 'aufmerksam')",57.0,7,15,43.441982966673116
316,Sozialdemokratische Partei der Schweiz (SP),"('geschatzt', 'kolleg')",85.0,9,15,43.42017802010921
317,Sozialdemokratische Partei der Schweiz (SP),"('frag', 'herr')",69.0,8,15,43.373997500143815
